scenario,iso,region,IIASA-WiC POP 2023|Population,OECD ENV-Growth 2023|GDP|PPP,IIASA GDP 2023|GDP|PPP
Historical Reference,AFG,Afghanistan,yes,NA,NA
Historical Reference,ALB,Albania,yes,yes,NA
Historical Reference,DZA,Algeria,yes,yes,NA
Historical Reference,AGO,Angola,yes,yes,NA
Historical Reference,ATG,Antigua and Barbuda,yes,yes,NA
Historical Reference,ARG,Argentina,yes,yes,NA
Historical Reference,ARM,Armenia,yes,yes,NA
Historical Reference,ABW,Aruba,yes,yes,NA
Historical Reference,AUS,Australia,yes,yes,NA
Historical Reference,AUT,Austria,yes,yes,NA
Historical Reference,AZE,Azerbaijan,yes,yes,NA
Historical Reference,BHS,Bahamas,yes,yes,NA
Historical Reference,BHR,Bahrain,yes,yes,NA
Historical Reference,BGD,Bangladesh,yes,yes,NA
Historical Reference,BRB,Barbados,yes,yes,NA
Historical Reference,BLR,Belarus,yes,yes,NA
Historical Reference,BEL,Belgium,yes,yes,NA
Historical Reference,BLZ,Belize,yes,yes,NA
Historical Reference,BEN,Benin,yes,yes,NA
Historical Reference,BTN,Bhutan,yes,yes,NA
Historical Reference,BOL,Bolivia,yes,yes,NA
Historical Reference,BIH,Bosnia and Herzegovina,yes,yes,NA
Historical Reference,BWA,Botswana,yes,yes,NA
Historical Reference,BRA,Brazil,yes,yes,NA
Historical Reference,BRN,Brunei Darussalam,yes,yes,NA
Historical Reference,BGR,Bulgaria,yes,yes,NA
Historical Reference,BFA,Burkina Faso,yes,yes,NA
Historical Reference,BDI,Burundi,yes,yes,NA
Historical Reference,CPV,Cabo Verde,yes,yes,NA
Historical Reference,KHM,Cambodia,yes,yes,NA
Historical Reference,CMR,Cameroon,yes,yes,NA
Historical Reference,CAN,Canada,yes,yes,NA
Historical Reference,CAF,Central African Republic,yes,yes,NA
Historical Reference,TCD,Chad,yes,yes,NA
Historical Reference,CHL,Chile,yes,yes,NA
Historical Reference,CHN,China,yes,yes,NA
Historical Reference,COL,Colombia,yes,yes,NA
Historical Reference,COM,Comoros,yes,yes,NA
Historical Reference,COG,Congo,yes,yes,NA
Historical Reference,CRI,Costa Rica,yes,yes,NA
Historical Reference,HRV,Croatia,yes,yes,NA
Historical Reference,CUB,Cuba,yes,yes,NA
Historical Reference,CUW,Curaçao,yes,NA,NA
Historical Reference,CYP,Cyprus,yes,yes,NA
Historical Reference,CZE,Czechia,yes,yes,NA
Historical Reference,CIV,Côte d'Ivoire,yes,yes,NA
Historical Reference,COD,Democratic Republic of the Congo,yes,yes,NA
Historical Reference,DNK,Denmark,yes,yes,NA
Historical Reference,DJI,Djibouti,yes,yes,NA
Historical Reference,DOM,Dominican Republic,yes,yes,NA
Historical Reference,ECU,Ecuador,yes,yes,NA
Historical Reference,EGY,Egypt,yes,yes,NA
Historical Reference,SLV,El Salvador,yes,yes,NA
Historical Reference,GNQ,Equatorial Guinea,yes,yes,NA
Historical Reference,ERI,Eritrea,yes,yes,NA
Historical Reference,EST,Estonia,yes,yes,NA
Historical Reference,SWZ,Eswatini,yes,yes,NA
Historical Reference,ETH,Ethiopia,yes,yes,NA
Historical Reference,FJI,Fiji,yes,yes,NA
Historical Reference,FIN,Finland,yes,yes,NA
Historical Reference,FRA,France,yes,yes,NA
Historical Reference,GUF,French Guiana,yes,yes,NA
Historical Reference,PYF,French Polynesia,yes,yes,NA
Historical Reference,GAB,Gabon,yes,yes,NA
Historical Reference,GMB,Gambia,yes,yes,NA
Historical Reference,GEO,Georgia,yes,yes,NA
Historical Reference,DEU,Germany,yes,yes,NA
Historical Reference,GHA,Ghana,yes,yes,NA
Historical Reference,GRC,Greece,yes,yes,NA
Historical Reference,GRD,Grenada,yes,yes,NA
Historical Reference,GLP,Guadeloupe,yes,NA,NA
Historical Reference,GUM,Guam,yes,yes,NA
Historical Reference,GTM,Guatemala,yes,yes,NA
Historical Reference,GIN,Guinea,yes,yes,NA
Historical Reference,GNB,Guinea-Bissau,yes,yes,NA
Historical Reference,GUY,Guyana,yes,yes,NA
Historical Reference,HTI,Haiti,yes,yes,NA
Historical Reference,HND,Honduras,yes,yes,NA
Historical Reference,HKG,Hong Kong,yes,yes,NA
Historical Reference,HUN,Hungary,yes,yes,NA
Historical Reference,ISL,Iceland,yes,yes,NA
Historical Reference,IND,India,yes,yes,NA
Historical Reference,IDN,Indonesia,yes,yes,NA
Historical Reference,IRN,Iran,yes,yes,NA
Historical Reference,IRQ,Iraq,yes,yes,NA
Historical Reference,IRL,Ireland,yes,yes,NA
