"scen","year","iso3c","GDP_PPP","GDP_PPP_CAP"
"SSP1",2100,"ABW",17.3063775617036,159505.010037487
"SSP1",2100,"AFG",1185.00724321011,15392.7144401221
"SSP1",2100,"AGO",2621.09807714683,36647.8922834853
"SSP1",2100,"ALB",103.547610974246,76604.6112713535
"SSP1",2100,"ARE",2038.19798526269,235411.351723074
"SSP1",2100,"ARG",2888.62847040448,72448.573310591
"SSP1",2100,"ARM",128.140578977561,65314.4650036761
"SSP1",2100,"ATG",6.90458950946563,88267.5136867269
"SSP1",2100,"AUS",4183.12229148282,132111.789861978
"SSP1",2100,"AUT",1160.08313974655,145303.713549367
"SSP1",2100,"AZE",512.955211135906,55844.4587823227
"SSP1",2100,"BDI",565.214053088781,26859.6478333726
"SSP1",2100,"BEL",1689.5073446979,147199.856292423
"SSP1",2100,"BEN",1144.39684940783,46751.6326329022
"SSP1",2100,"BFA",1306.89983733339,32665.4655128542
"SSP1",2100,"BGD",10955.8565368254,76150.4352157805
"SSP1",2100,"BGR",325.346264032337,80734.5552068861
"SSP1",2100,"BHR",207.903854967243,116036.349563128
"SSP1",2100,"BHS",34.5118229713066,99222.2148965544
"SSP1",2100,"BIH",110.798020699956,68291.4334176868
"SSP1",2100,"BLR",389.665201773805,56108.6248668622
"SSP1",2100,"BLZ",33.6251355614761,69037.2637040588
"SSP1",2100,"BOL",602.995414630979,46822.2995180597
"SSP1",2100,"BRA",11156.8394833398,70229.2299729342
"SSP1",2100,"BRB",15.669577109951,73466.1572407691
"SSP1",2100,"BRN",66.2980176208301,153285.905781343
"SSP1",2100,"BTN",38.2743076483797,65283.0806044019
"SSP1",2100,"BWA",199.150967807916,65558.0611953867
"SSP1",2100,"CAF",417.940181144537,32064.7541262176
"SSP1",2100,"CAN",4284.27442106761,104647.146326987
"SSP1",2100,"CHE",1560.48219050463,170175.686606096
"SSP1",2100,"CHL",1078.60082623449,74448.2057343526
"SSP1",2100,"CHN",73431.3246656164,90847.6732825549
"SSP1",2100,"CIV",2273.01872639093,51944.9789758886
"SSP1",2100,"CMR",2192.83717710543,43580.159563309
"SSP1",2100,"COD",9283.78542706641,40674.6379784412
"SSP1",2100,"COG",394.772060109804,39153.0994139099
"SSP1",2100,"COL",2660.26928355794,63544.0699758707
"SSP1",2100,"COM",34.6952090046169,31256.2601519733
"SSP1",2100,"CPV",30.6788164707855,60597.2137431336
"SSP1",2100,"CRI",361.242391397902,85099.2859386713
"SSP1",2100,"CYP",170.458707964468,134344.708515447
"SSP1",2100,"CZE",837.461445872305,98386.1215630964
"SSP1",2100,"DEU",9045.87984516759,131280.407747922
"SSP1",2100,"DJI",52.4992421476614,51214.8029995304
"SSP1",2100,"DNK",875.317403927448,143533.129601616
"SSP1",2100,"DOM",792.162659116231,75863.3173451902
"SSP1",2100,"DZA",3791.26446589429,72294.4538489543
"SSP1",2100,"ECU",867.055385111245,51023.7432588377
"SSP1",2100,"EGY",11082.3257666932,70212.0917443556
"SSP1",2100,"ERI",120.28228106353,29030.4873112995
"SSP1",2100,"ESP",4888.13236216346,114143.509747133
"SSP1",2100,"EST",77.1282404591659,77871.9951641776
