ISO,name,region_ar6_6_ipcc_fgd,region_ar6_10_ipcc_fgd,region_ar6_22_ipcc_fgd,M49_Hi_M49_Regions,M49_Med__M49_Regions,M49_lo_M49_Regions,Developing_2021_M49_other,SIDS_M49_other,LLDC_M49_other,LDC_M49_other,Annex_I_unfccc,Annex _II_unfccc,WMO,EU,OECD,Income _status_WB,Former Soviet Union
TJK,Tajikistan,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,,LLDC,,Non-Annex I,,II,,,Lower-middle,FSU
TKM,Turkmenistan,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,,LLDC,,Non-Annex I,,II,,,Upper middle,FSU
UZB,Uzbekistan,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Asia,Central Asia,Central Asia,Developing,,LLDC,,Non-Annex I,,II,,,Lower-middle,FSU
BLR,Belarus,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,,,Upper middle,FSU
MDA,Republic of Moldova,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Europe,Eastern Europe,Eastern Europe,Developed,,LLDC,,Non-Annex I,,VI,,,Upper middle,FSU
RUS,Russian Federation,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,,,Upper middle,FSU
UKR,Ukraine,Developed Countries,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,,,Lower-middle,FSU
ARM,Armenia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Asia,Western Asia,Western Asia,Developing,,LLDC,,Non-Annex I,,VI,,,Upper middle,FSU
AZE,Azerbaijan,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Asia,Western Asia,Western Asia,Developing,,LLDC,,Non-Annex I,,VI,,,Upper middle,FSU
GEO,Georgia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Eastern Europe and West-Central Asia,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,VI,,,Upper middle,FSU
BMU,Bermuda,Developed Countries,North America,"Greenland, Bermuda + others",Americas,Northern America,Northern America,Developed,,,,Territory,,N/A,,,High,
GRL,Greenland,Developed Countries,North America,"Greenland, Bermuda + others",Americas,Northern America,Northern America,Developed,,,,Territory,,N/A,,,High,
SPM,Saint Pierre and Miquelon,Developed Countries,North America,"Greenland, Bermuda + others",Americas,Northern America,Northern America,Developed,,,,Territory,,N/A,,,N/A,
IND,India,Asia and developing Pacific,Southern Asia,India & Sri Lanka,Asia,Southern Asia,Southern Asia,Developing,,,,Non-Annex I,,II,,,Lower-middle,
LKA,Sri Lanka,Asia and developing Pacific,Southern Asia,India & Sri Lanka,Asia,Southern Asia,Southern Asia,Developing,,,,Non-Annex I,,II,,,Lower-middle,
BLZ,Belize,Latin America and Caribbean,Latin America and Caribbean,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,SIDS,,,Non-Annex I,,IV,,,Lower-middle,
CRI,Costa Rica,Latin America and Caribbean,Latin America and Caribbean,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,,,,Non-Annex I,,IV,,OECD,Upper middle,
SLV,El Salvador,Latin America and Caribbean,Latin America and Caribbean,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,,,,Non-Annex I,,IV,,,Lower-middle,
GTM,Guatemala,Latin America and Caribbean,Latin America and Caribbean,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,,,,Non-Annex I,,IV,,,Upper middle,
HND,Honduras,Latin America and Caribbean,Latin America and Caribbean,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,,,,Non-Annex I,,IV,,,Lower-middle,
MEX,Mexico,Latin America and Caribbean,Latin America and Caribbean,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,,,,Non-Annex I,,IV,,OECD,Upper middle,
NIC,Nicaragua,Latin America and Caribbean,Latin America and Caribbean,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,,,,Non-Annex I,,IV,,,Lower-middle,
PAN,Panama,Latin America and Caribbean,Latin America and Caribbean,Meso America,Americas,Latin America and the Caribbean,Central America,Developing,,,,Non-Annex I,,IV,,,Upper middle,
BHR,Bahrain,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,II,,,High,
IRN,"Iran, Islamic Rep.",Middle East,Middle East,Middle East,Asia,Southern Asia,Southern Asia,Developing,,,,Non-Annex I,,II,,,Lower-middle,
IRQ,Iraq,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,II,,,Upper middle,
ISR,Israel,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developed,,,,Non-Annex I,,VI,,OECD,High,
JOR,Jordan,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,VI,,,Upper middle,
KWT,Kuwait,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,II,,,High,
LBN,Lebanon,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,VI,,,Upper middle,
OMN,Oman,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,II,,,High,
QAT,Qatar,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,II,,,High,
SAU,Saudi Arabia,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,II,,,High,
PSE,State of Palestine,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,N/A,,,Lower-middle,
SYR,Syrian Arab Republic,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,VI,,,Low,
ARE,United Arab Emirates,Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,,Non-Annex I,,II,,,High,
YEM,"Yemen, Rep.",Middle East,Middle East,Middle East,Asia,Western Asia,Western Asia,Developing,,,LDC,Non-Annex I,,II,,,Low,
DZA,Algeria,Africa,Africa,North Africa,Africa,Northern Africa,Northern Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
EGY,Egypt,Africa,Africa,North Africa,Africa,Northern Africa,Northern Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
LBY,Libya,Africa,Africa,North Africa,Africa,Northern Africa,Northern Africa,Developing,,,,Non-Annex I,,I,,,Upper middle,
MAR,Morocco,Africa,Africa,North Africa,Africa,Northern Africa,Northern Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
SDN,Sudan,Africa,Africa,North Africa,Africa,Northern Africa,Northern Africa,Developing,,,LDC,Non-Annex I,,I,,,Low,
TUN,Tunisia,Africa,Africa,North Africa,Africa,Northern Africa,Northern Africa,Developing,,,,Non-Annex I,,I,,,Lower-middle,
ESH,Western Sahara,Africa,Africa,North Africa,Africa,Northern Africa,Northern Africa,Developing,,,,Territory,,N/A,,,N/A,
BGR,Bulgaria,Developed Countries,Europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,EU,,Upper middle,
CZE,Czechia,Developed Countries,Europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,EU,OECD,High,
HUN,Hungary,Developed Countries,Europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,EU,OECD,High,
POL,Poland,Developed Countries,Europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,EU,OECD,High,
ROU,Romania,Developed Countries,Europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,EU,,Upper middle,
SVK,Slovakia,Developed Countries,Europe,Southern and eastern Europe,Europe,Eastern Europe,Eastern Europe,Developed,,,,Annex I,,VI,EU,OECD,High,
ALA,Åland Islands,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Territory,,N/A,,,N/A,
DNK,Denmark,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
EST,Estonia,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,,VI,EU,OECD,High,FSU
FRO,Faroe Islands,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Territory,,N/A,,,High,
FIN,Finland,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
GGY,Guernsey,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Channel Islands,Developed,,,,Territory,,N/A,,,High,
ISL,Iceland,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,Annex II,VI,,OECD,High,
IRL,Ireland,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
IMN,Isle of Man,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Territory,,N/A,,,High,
JEY,Jersey,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Channel Islands,Developed,,,,Territory,,N/A,,,High,
LVA,Latvia,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,,VI,EU,OECD,High,FSU
LTU,Lithuania,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,,VI,EU,OECD,High,FSU
NOR,Norway,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,Annex II,VI,,OECD,High,
SJM,Svalbard and Jan Mayen,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Territory,,N/A,,,N/A,
SWE,Sweden,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,Annex II,VI,EU,OECD,High,
GBR,United Kingdom of Great Britain and Northern Ireland,Developed Countries,Europe,Northern and western Europe,Europe,Northern Europe,Northern Europe,Developed,,,,Annex I,Annex II,VI,,OECD,High,
ALB,Albania,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Non-Annex I,,VI,,,Upper middle,
AND,Andorra,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Non-Annex I,,VI,,,High,
BIH,Bosnia and Herzegovina,Developed Countries,Europe,Southern and eastern Europe,Europe,Southern Europe,Southern Europe,Developed,,,,Non-Annex I,,VI,,,Upper middle,
AFG,Afghanistan,Asia and developing Pacific,Southern Asia,Rest of Southern Asia,Asia,Southern Asia,Southern Asia,Developing,,LLDC,LDC,Non-Annex I,,II,,,Low,
