scenario,iso,region,IIASA GDP 2023|GDP|PPP,IIASA-WiC POP 2023|Population,OECD ENV-Growth 2023|GDP|PPP
SSP2,BEL,Belgium,yes,yes,yes
SSP2,BLZ,Belize,yes,yes,yes
SSP2,BEN,Benin,yes,yes,yes
SSP2,BTN,Bhutan,yes,yes,yes
SSP2,BOL,Bolivia,yes,yes,yes
SSP2,BIH,Bosnia and Herzegovina,yes,yes,yes
SSP2,BWA,Botswana,yes,yes,yes
SSP2,BRA,Brazil,yes,yes,yes
SSP2,BRN,Brunei Darussalam,yes,yes,yes
SSP2,BGR,Bulgaria,yes,yes,yes
SSP2,BFA,Burkina Faso,yes,yes,yes
SSP2,BDI,Burundi,yes,yes,yes
SSP2,CPV,Cabo Verde,yes,yes,yes
SSP2,KHM,Cambodia,yes,yes,yes
SSP2,CMR,Cameroon,yes,yes,yes
SSP2,CAN,Canada,yes,yes,yes
SSP2,CAF,Central African Republic,yes,yes,yes
SSP2,TCD,Chad,yes,yes,yes
SSP2,CHL,Chile,yes,yes,yes
SSP2,CHN,China,yes,yes,yes
SSP2,CHN,China (R9),yes,yes,yes
SSP2,CHN,China+ (R10),yes,yes,yes
SSP2,COL,Colombia,yes,yes,yes
SSP2,COM,Comoros,yes,yes,yes
SSP2,COG,Congo,yes,yes,yes
SSP2,CRI,Costa Rica,yes,yes,yes
SSP2,HRV,Croatia,yes,yes,yes
SSP2,CYP,Cyprus,yes,yes,yes
SSP2,CZE,Czechia,yes,yes,yes
SSP2,CIV,Côte d'Ivoire,yes,yes,yes
SSP2,COD,Democratic Republic of the Congo,yes,yes,yes
SSP2,DNK,Denmark,yes,yes,yes
SSP2,DJI,Djibouti,yes,yes,yes
SSP2,DOM,Dominican Republic,yes,yes,yes
SSP2,ECU,Ecuador,yes,yes,yes
SSP2,EGY,Egypt,yes,yes,yes
SSP2,SLV,El Salvador,yes,yes,yes
SSP2,GNQ,Equatorial Guinea,yes,yes,yes
SSP2,ERI,Eritrea,yes,yes,yes
SSP2,EST,Estonia,yes,yes,yes
SSP2,SWZ,Eswatini,yes,yes,yes
SSP2,ETH,Ethiopia,yes,yes,yes
SSP2,FJI,Fiji,yes,yes,yes
SSP2,FIN,Finland,yes,yes,yes
SSP2,FRA,France,yes,yes,yes
SSP2,GAB,Gabon,yes,yes,yes
SSP2,GMB,Gambia,yes,yes,yes
SSP2,GEO,Georgia,yes,yes,yes
SSP2,DEU,Germany,yes,yes,yes
SSP2,GHA,Ghana,yes,yes,yes
SSP2,GRC,Greece,yes,yes,yes
SSP2,GRD,Grenada,yes,yes,yes
SSP2,GTM,Guatemala,yes,yes,yes
SSP2,GIN,Guinea,yes,yes,yes
SSP2,GNB,Guinea-Bissau,yes,yes,yes
SSP2,HTI,Haiti,yes,yes,yes
SSP2,HND,Honduras,yes,yes,yes
SSP2,HKG,Hong Kong,yes,yes,yes
SSP2,HUN,Hungary,yes,yes,yes
SSP2,ISL,Iceland,yes,yes,yes
SSP2,IND,India,yes,yes,yes
SSP2,IND,India (R9),yes,yes,yes
SSP2,IND,India+ (R10),yes,yes,yes
SSP2,IDN,Indonesia,yes,yes,yes
SSP2,IRN,Iran,yes,yes,yes
SSP2,IRQ,Iraq,yes,yes,yes
SSP2,IRL,Ireland,yes,yes,yes
SSP2,ISR,Israel,yes,yes,yes
SSP2,ITA,Italy,yes,yes,yes
SSP2,JAM,Jamaica,yes,yes,yes
SSP2,JPN,Japan,yes,yes,yes
SSP2,JOR,Jordan,yes,yes,yes
SSP2,KAZ,Kazakhstan,yes,yes,yes
SSP2,KEN,Kenya,yes,yes,yes
SSP2,KIR,Kiribati,yes,yes,yes
SSP2,KWT,Kuwait,yes,yes,yes
SSP2,KGZ,Kyrgyzstan,yes,yes,yes
SSP2,LAO,Laos,yes,yes,yes
SSP2,LVA,Latvia,yes,yes,yes
SSP2,LBN,Lebanon,yes,yes,yes
SSP2,LSO,Lesotho,yes,yes,yes
SSP2,LBR,Liberia,yes,yes,yes
SSP2,LBY,Libya,yes,yes,yes
SSP2,LTU,Lithuania,yes,yes,yes
SSP2,LUX,Luxembourg,yes,yes,yes
SSP2,MAC,Macao,yes,yes,yes
SSP2,MDG,Madagascar,yes,yes,yes
SSP2,MWI,Malawi,yes,yes,yes
SSP2,MYS,Malaysia,yes,yes,yes
SSP2,MDV,Maldives,yes,yes,yes
SSP2,MLI,Mali,yes,yes,yes
SSP2,MLT,Malta,yes,yes,yes
SSP2,MRT,Mauritania,yes,yes,yes
SSP2,MUS,Mauritius,yes,yes,yes
SSP2,MEX,Mexico,yes,yes,yes
SSP2,FSM,Micronesia (Federated States of),yes,yes,yes
SSP2,MDA,Moldova,yes,yes,yes
SSP2,MNG,Mongolia,yes,yes,yes
SSP2,MNE,Montenegro,yes,yes,yes
SSP2,MAR,Morocco,yes,yes,yes
SSP2,MOZ,Mozambique,yes,yes,yes
SSP2,MMR,Myanmar,yes,yes,yes
SSP2,NAM,Namibia,yes,yes,yes
SSP2,NPL,Nepal,yes,yes,yes
SSP2,NLD,Netherlands,yes,yes,yes
SSP2,NZL,New Zealand,yes,yes,yes
SSP2,NIC,Nicaragua,yes,yes,yes
SSP2,NER,Niger,yes,yes,yes
SSP2,NGA,Nigeria,yes,yes,yes
SSP2,MKD,North Macedonia,yes,yes,yes
SSP2,NOR,Norway,yes,yes,yes
SSP2,OMN,Oman,yes,yes,yes
SSP2,PAK,Pakistan,yes,yes,yes
SSP2,PSE,Palestine,yes,yes,NA
SSP2,PAN,Panama,yes,yes,yes
SSP2,PNG,Papua New Guinea,yes,yes,yes
SSP2,PRY,Paraguay,yes,yes,yes
SSP2,PER,Peru,yes,yes,yes
SSP2,PHL,Philippines,yes,yes,yes
SSP2,POL,Poland,yes,yes,yes
SSP2,PRT,Portugal,yes,yes,yes
SSP2,PRI,Puerto Rico,yes,yes,yes
SSP2,QAT,Qatar,yes,yes,yes
SSP2,ROU,Romania,yes,yes,yes
SSP2,RUS,Russian Federation,yes,yes,yes
SSP2,RWA,Rwanda,yes,yes,yes
SSP2,LCA,Saint Lucia,yes,yes,yes
SSP2,VCT,Saint Vincent and the Grenadines,yes,yes,yes
SSP2,WSM,Samoa,yes,yes,yes
SSP2,STP,Sao Tome and Principe,yes,yes,yes
SSP2,SAU,Saudi Arabia,yes,yes,yes
SSP2,SEN,Senegal,yes,yes,yes
SSP2,SRB,Serbia,yes,yes,yes
SSP2,SYC,Seychelles,yes,yes,yes
SSP2,SLE,Sierra Leone,yes,yes,yes
SSP2,SGP,Singapore,yes,yes,yes
SSP2,SVK,Slovakia,yes,yes,yes
SSP2,SVN,Slovenia,yes,yes,yes
SSP2,SLB,Solomon Islands,yes,yes,yes
SSP2,SOM,Somalia,yes,yes,yes
SSP2,ZAF,South Africa,yes,yes,yes
SSP2,KOR,South Korea,yes,yes,yes
SSP2,SSD,South Sudan,yes,yes,yes
SSP2,ESP,Spain,yes,yes,yes
SSP2,LKA,Sri Lanka,yes,yes,yes
SSP2,SDN,Sudan,yes,yes,yes
SSP2,SUR,Suriname,yes,yes,yes
SSP2,SWE,Sweden,yes,yes,yes
SSP2,CHE,Switzerland,yes,yes,yes
SSP2,SYR,Syria,yes,yes,NA
SSP2,TWN,Taiwan,yes,yes,yes
SSP2,TJK,Tajikistan,yes,yes,yes
SSP2,TZA,Tanzania,yes,yes,yes
SSP2,THA,Thailand,yes,yes,yes
SSP2,TLS,Timor-Leste,yes,yes,yes
SSP2,TGO,Togo,yes,yes,yes
SSP2,TON,Tonga,yes,yes,yes
SSP2,TTO,Trinidad and Tobago,yes,yes,yes
SSP2,TUN,Tunisia,yes,yes,yes
SSP2,TUR,Turkey,yes,yes,yes
SSP2,TKM,Turkmenistan,yes,yes,yes
SSP2,USA,USA (R9),yes,yes,yes
SSP2,UGA,Uganda,yes,yes,yes
SSP2,UKR,Ukraine,yes,yes,yes
SSP2,ARE,United Arab Emirates,yes,yes,yes
SSP2,GBR,United Kingdom,yes,yes,yes
SSP2,USA,United States,yes,yes,yes
SSP2,URY,Uruguay,yes,yes,yes
SSP2,UZB,Uzbekistan,yes,yes,yes
SSP2,VUT,Vanuatu,yes,yes,yes
SSP2,VEN,Venezuela,yes,yes,NA
SSP2,VNM,Viet Nam,yes,yes,yes
SSP2,YEM,Yemen,yes,yes,yes
SSP2,ZMB,Zambia,yes,yes,yes
SSP2,ZWE,Zimbabwe,yes,yes,yes
SSP3,AFG,Afghanistan,yes,yes,NA
SSP3,ALB,Albania,yes,yes,yes
SSP3,DZA,Algeria,yes,yes,yes
SSP3,AGO,Angola,yes,yes,yes
SSP3,ATG,Antigua and Barbuda,yes,yes,yes
SSP3,ARG,Argentina,yes,yes,yes
SSP3,ARM,Armenia,yes,yes,yes
SSP3,ABW,Aruba,yes,yes,yes
SSP3,AUS,Australia,yes,yes,yes
SSP3,AUT,Austria,yes,yes,yes
SSP3,AZE,Azerbaijan,yes,yes,yes
SSP3,BHS,Bahamas,yes,yes,yes
SSP3,BHR,Bahrain,yes,yes,yes
SSP3,BGD,Bangladesh,yes,yes,yes
SSP3,BRB,Barbados,yes,yes,yes
SSP3,BLR,Belarus,yes,yes,yes
SSP3,BEL,Belgium,yes,yes,yes
SSP3,BLZ,Belize,yes,yes,yes
SSP3,BEN,Benin,yes,yes,yes
SSP3,BTN,Bhutan,yes,yes,yes
SSP3,BOL,Bolivia,yes,yes,yes
SSP3,BIH,Bosnia and Herzegovina,yes,yes,yes
SSP3,BWA,Botswana,yes,yes,yes
SSP3,BRA,Brazil,yes,yes,yes
SSP3,BRN,Brunei Darussalam,yes,yes,yes
SSP3,BGR,Bulgaria,yes,yes,yes
SSP3,BFA,Burkina Faso,yes,yes,yes
SSP3,BDI,Burundi,yes,yes,yes
SSP3,CPV,Cabo Verde,yes,yes,yes
SSP3,KHM,Cambodia,yes,yes,yes
SSP3,CMR,Cameroon,yes,yes,yes
SSP3,CAN,Canada,yes,yes,yes
SSP3,CAF,Central African Republic,yes,yes,yes
SSP3,TCD,Chad,yes,yes,yes
SSP3,CHL,Chile,yes,yes,yes
SSP3,CHN,China,yes,yes,yes
SSP3,CHN,China (R9),yes,yes,yes
SSP3,CHN,China+ (R10),yes,yes,yes
SSP3,COL,Colombia,yes,yes,yes
SSP3,COM,Comoros,yes,yes,yes
SSP3,COG,Congo,yes,yes,yes
SSP3,CRI,Costa Rica,yes,yes,yes
SSP3,HRV,Croatia,yes,yes,yes
SSP3,CYP,Cyprus,yes,yes,yes
SSP3,CZE,Czechia,yes,yes,yes
SSP3,CIV,Côte d'Ivoire,yes,yes,yes
SSP3,COD,Democratic Republic of the Congo,yes,yes,yes
SSP3,DNK,Denmark,yes,yes,yes
SSP3,DJI,Djibouti,yes,yes,yes
SSP3,DOM,Dominican Republic,yes,yes,yes
SSP3,ECU,Ecuador,yes,yes,yes
SSP3,EGY,Egypt,yes,yes,yes
SSP3,SLV,El Salvador,yes,yes,yes
SSP3,GNQ,Equatorial Guinea,yes,yes,yes
SSP3,ERI,Eritrea,yes,yes,yes
SSP3,EST,Estonia,yes,yes,yes
SSP3,SWZ,Eswatini,yes,yes,yes
SSP3,ETH,Ethiopia,yes,yes,yes
SSP3,FJI,Fiji,yes,yes,yes
SSP3,FIN,Finland,yes,yes,yes
SSP3,FRA,France,yes,yes,yes
SSP3,GAB,Gabon,yes,yes,yes
SSP3,GMB,Gambia,yes,yes,yes
SSP3,GEO,Georgia,yes,yes,yes
SSP3,DEU,Germany,yes,yes,yes
SSP3,GHA,Ghana,yes,yes,yes
SSP3,GRC,Greece,yes,yes,yes
SSP3,GRD,Grenada,yes,yes,yes
SSP3,GTM,Guatemala,yes,yes,yes
SSP3,GIN,Guinea,yes,yes,yes
SSP3,GNB,Guinea-Bissau,yes,yes,yes
SSP3,HTI,Haiti,yes,yes,yes
SSP3,HND,Honduras,yes,yes,yes
SSP3,HKG,Hong Kong,yes,yes,yes
SSP3,HUN,Hungary,yes,yes,yes
SSP3,ISL,Iceland,yes,yes,yes
SSP3,IND,India,yes,yes,yes
SSP3,IND,India (R9),yes,yes,yes
SSP3,IND,India+ (R10),yes,yes,yes
SSP3,IDN,Indonesia,yes,yes,yes
SSP3,IRN,Iran,yes,yes,yes
SSP3,IRQ,Iraq,yes,yes,yes
SSP3,IRL,Ireland,yes,yes,yes
SSP3,ISR,Israel,yes,yes,yes
SSP3,ITA,Italy,yes,yes,yes
SSP3,JAM,Jamaica,yes,yes,yes
SSP3,JPN,Japan,yes,yes,yes
SSP3,JOR,Jordan,yes,yes,yes
SSP3,KAZ,Kazakhstan,yes,yes,yes
SSP3,KEN,Kenya,yes,yes,yes
SSP3,KIR,Kiribati,yes,yes,yes
SSP3,KWT,Kuwait,yes,yes,yes
SSP3,KGZ,Kyrgyzstan,yes,yes,yes
SSP3,LAO,Laos,yes,yes,yes
SSP3,LVA,Latvia,yes,yes,yes
SSP3,LBN,Lebanon,yes,yes,yes
SSP3,LSO,Lesotho,yes,yes,yes
SSP3,LBR,Liberia,yes,yes,yes
SSP3,LBY,Libya,yes,yes,yes
SSP3,LTU,Lithuania,yes,yes,yes
SSP3,LUX,Luxembourg,yes,yes,yes
SSP3,MAC,Macao,yes,yes,yes
SSP3,MDG,Madagascar,yes,yes,yes
SSP3,MWI,Malawi,yes,yes,yes
SSP3,MYS,Malaysia,yes,yes,yes
SSP3,MDV,Maldives,yes,yes,yes
SSP3,MLI,Mali,yes,yes,yes
SSP3,MLT,Malta,yes,yes,yes
SSP3,MRT,Mauritania,yes,yes,yes
SSP3,MUS,Mauritius,yes,yes,yes
SSP3,MEX,Mexico,yes,yes,yes
SSP3,FSM,Micronesia (Federated States of),yes,yes,yes
SSP3,MDA,Moldova,yes,yes,yes
SSP3,MNG,Mongolia,yes,yes,yes
SSP3,MNE,Montenegro,yes,yes,yes
SSP3,MAR,Morocco,yes,yes,yes
SSP3,MOZ,Mozambique,yes,yes,yes
SSP3,MMR,Myanmar,yes,yes,yes
SSP3,NAM,Namibia,yes,yes,yes
SSP3,NPL,Nepal,yes,yes,yes
SSP3,NLD,Netherlands,yes,yes,yes
SSP3,NZL,New Zealand,yes,yes,yes
SSP3,NIC,Nicaragua,yes,yes,yes
SSP3,NER,Niger,yes,yes,yes
SSP3,NGA,Nigeria,yes,yes,yes
SSP3,MKD,North Macedonia,yes,yes,yes
SSP3,NOR,Norway,yes,yes,yes
SSP3,OMN,Oman,yes,yes,yes
SSP3,PAK,Pakistan,yes,yes,yes
SSP3,PSE,Palestine,yes,yes,NA
SSP3,PAN,Panama,yes,yes,yes
SSP3,PNG,Papua New Guinea,yes,yes,yes
SSP3,PRY,Paraguay,yes,yes,yes
SSP3,PER,Peru,yes,yes,yes
SSP3,PHL,Philippines,yes,yes,yes
SSP3,POL,Poland,yes,yes,yes
SSP3,PRT,Portugal,yes,yes,yes
SSP3,PRI,Puerto Rico,yes,yes,yes
SSP3,QAT,Qatar,yes,yes,yes
SSP3,ROU,Romania,yes,yes,yes
SSP3,RUS,Russian Federation,yes,yes,yes
SSP3,RWA,Rwanda,yes,yes,yes
SSP3,LCA,Saint Lucia,yes,yes,yes
SSP3,VCT,Saint Vincent and the Grenadines,yes,yes,yes
SSP3,WSM,Samoa,yes,yes,yes
SSP3,STP,Sao Tome and Principe,yes,yes,yes
SSP3,SAU,Saudi Arabia,yes,yes,yes
SSP3,SEN,Senegal,yes,yes,yes
SSP3,SRB,Serbia,yes,yes,yes
SSP3,SYC,Seychelles,yes,yes,yes
SSP3,SLE,Sierra Leone,yes,yes,yes
SSP3,SGP,Singapore,yes,yes,yes
SSP3,SVK,Slovakia,yes,yes,yes
SSP3,SVN,Slovenia,yes,yes,yes
SSP3,SLB,Solomon Islands,yes,yes,yes
SSP3,SOM,Somalia,yes,yes,yes
SSP3,ZAF,South Africa,yes,yes,yes
SSP3,KOR,South Korea,yes,yes,yes
SSP3,SSD,South Sudan,yes,yes,yes
SSP3,ESP,Spain,yes,yes,yes
SSP3,LKA,Sri Lanka,yes,yes,yes
SSP3,SDN,Sudan,yes,yes,yes
SSP3,SUR,Suriname,yes,yes,yes
SSP3,SWE,Sweden,yes,yes,yes
SSP3,CHE,Switzerland,yes,yes,yes
SSP3,SYR,Syria,yes,yes,NA
SSP3,TWN,Taiwan,yes,yes,yes
SSP3,TJK,Tajikistan,yes,yes,yes
SSP3,TZA,Tanzania,yes,yes,yes
SSP3,THA,Thailand,yes,yes,yes
SSP3,TLS,Timor-Leste,yes,yes,yes
SSP3,TGO,Togo,yes,yes,yes
SSP3,TON,Tonga,yes,yes,yes
SSP3,TTO,Trinidad and Tobago,yes,yes,yes
SSP3,TUN,Tunisia,yes,yes,yes
SSP3,TUR,Turkey,yes,yes,yes
SSP3,TKM,Turkmenistan,yes,yes,yes
SSP3,USA,USA (R9),yes,yes,yes
SSP3,UGA,Uganda,yes,yes,yes
SSP3,UKR,Ukraine,yes,yes,yes
SSP3,ARE,United Arab Emirates,yes,yes,yes
SSP3,GBR,United Kingdom,yes,yes,yes
SSP3,USA,United States,yes,yes,yes
SSP3,URY,Uruguay,yes,yes,yes
SSP3,UZB,Uzbekistan,yes,yes,yes
SSP3,VUT,Vanuatu,yes,yes,yes
SSP3,VEN,Venezuela,yes,yes,NA
SSP3,VNM,Viet Nam,yes,yes,yes
SSP3,YEM,Yemen,yes,yes,yes
SSP3,ZMB,Zambia,yes,yes,yes
SSP3,ZWE,Zimbabwe,yes,yes,yes
SSP4,AFG,Afghanistan,yes,yes,NA
SSP4,ALB,Albania,yes,yes,yes
SSP4,DZA,Algeria,yes,yes,yes
SSP4,AGO,Angola,yes,yes,yes
SSP4,ATG,Antigua and Barbuda,yes,yes,yes
SSP4,ARG,Argentina,yes,yes,yes
SSP4,ARM,Armenia,yes,yes,yes
SSP4,ABW,Aruba,yes,yes,yes
