Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GDP marker (amended),Historical Reference,ALB,GDP|PPP,billion USD_2017/yr,14.8499,16.406,16.7455,14.6095,18.6547,24.8144,32.0917,35.0689,38.6186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ALB,GDP|PPP [per capita],USD_2017/yr,5048.15,5172.56,5082,4448.18,5862.55,8182.45,11015.2,12166.2,13446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,DZA,GDP|PPP,billion USD_2017/yr,168.229,216.694,222.545,225.067,265.913,342.465,388.032,456.849,463.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,DZA,GDP|PPP [per capita],USD_2017/yr,8977.3,9790.59,8721.08,7903.18,8640.66,10391.4,10821.8,11553.2,10761.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,AGO,GDP|PPP,billion USD_2017/yr,NA,NA,68.5243,58.6377,77.1182,120.066,179.52,223.908,201.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,AGO,GDP|PPP [per capita],USD_2017/yr,NA,NA,5793.08,4214.83,4704.03,6172.74,7683.57,7960.42,6121.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ATG,GDP|PPP,billion USD_2017/yr,0.54986,0.712911,0.966737,1.07312,1.39171,1.60333,1.60275,1.73978,1.74094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ATG,GDP|PPP [per capita],USD_2017/yr,8472.95,10958.1,15263.6,15688.9,18541.3,20073.2,18702.5,19343.3,18846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ARG,GDP|PPP,billion USD_2017/yr,513.07,461.13,461.3,604.596,576.77,634.572,805.778,867.021,750.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ARG,GDP|PPP [per capita],USD_2017/yr,18307.7,15225.3,14134,17300.8,15558.6,16241.7,19605.2,20043.5,16713.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ARM,GDP|PPP,billion USD_2017/yr,NA,NA,18.3279,9.68713,12.2243,22.0888,26.6884,33.1178,37.5166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ARM,GDP|PPP [per capita],USD_2017/yr,NA,NA,5153.3,2915.36,3858.03,7248.78,9058.31,11504.8,13339.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ABW,GDP|PPP,billion USD_2017/yr,NA,NA,2.11677,2.88042,3.47463,3.87497,3.53452,3.98373,3.11606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,ABW,GDP|PPP [per capita],USD_2017/yr,NA,NA,32210.5,37381.9,38995.2,41011.1,35223.4,38208.8,29212.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,AUS,GDP|PPP,billion USD_2017/yr,390.087,452.531,536.001,612.702,718.501,848.066,972.936,1111.68,1202.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,AUS,GDP|PPP [per capita],USD_2017/yr,26525.1,28667.2,31440.7,34033.4,37780.1,42042.3,44185.9,46669.7,47086.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,AUT,GDP|PPP,billion USD_2017/yr,229.744,247.132,286.936,320.261,350.226,382.176,407.961,431.002,435.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,AUT,GDP|PPP [per capita],USD_2017/yr,30439.5,32680.3,37367.6,40298.1,43721.2,46453.7,48782.6,49870.5,48964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,AZE,GDP|PPP,billion USD_2017/yr,NA,NA,54.6529,24.0195,33.6378,59.6581,127.424,143.331,138.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,AZE,GDP|PPP [per capita],USD_2017/yr,NA,NA,7357.84,3044.55,4107.01,6891.92,13794.7,14531.5,13493.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,BHS,GDP|PPP,billion USD_2017/yr,7.1193,8.36647,9.4091,9.36377,11.9687,12.9925,12.8411,13.3607,10.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GDP marker (amended),Historical Reference,BHS,GDP|PPP [per capita],USD_2017/yr,31817.2,34018.8,34760.7,31259.2,36824.7,37355.8,34400.6,34022.5,26176.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
