scenario,iso,region,IIASA GDP 2023|GDP|PPP,IIASA-WiC POP 2023|Population,OECD ENV-Growth 2023|GDP|PPP
SSP1,AFG,Afghanistan,yes,yes,NA
SSP1,PSE,Palestine,yes,yes,NA
SSP1,SYR,Syria,yes,yes,NA
SSP1,VEN,Venezuela,yes,yes,NA
SSP2,AFG,Afghanistan,yes,yes,NA
SSP2,PSE,Palestine,yes,yes,NA
SSP2,SYR,Syria,yes,yes,NA
SSP2,VEN,Venezuela,yes,yes,NA
SSP3,AFG,Afghanistan,yes,yes,NA
SSP3,PSE,Palestine,yes,yes,NA
SSP3,SYR,Syria,yes,yes,NA
SSP3,VEN,Venezuela,yes,yes,NA
SSP4,AFG,Afghanistan,yes,yes,NA
SSP4,PSE,Palestine,yes,yes,NA
SSP4,SYR,Syria,yes,yes,NA
SSP4,VEN,Venezuela,yes,yes,NA
SSP5,AFG,Afghanistan,yes,yes,NA
SSP5,PSE,Palestine,yes,yes,NA
SSP5,SYR,Syria,yes,yes,NA
SSP5,VEN,Venezuela,yes,yes,NA
Historical Reference,AFG,Afghanistan,NA,yes,NA
Historical Reference,ALB,Albania,NA,yes,yes
Historical Reference,DZA,Algeria,NA,yes,yes
Historical Reference,AGO,Angola,NA,yes,yes
Historical Reference,ATG,Antigua and Barbuda,NA,yes,yes
Historical Reference,ARG,Argentina,NA,yes,yes
Historical Reference,ARM,Armenia,NA,yes,yes
Historical Reference,ABW,Aruba,NA,yes,yes
Historical Reference,AUS,Australia,NA,yes,yes
Historical Reference,AUT,Austria,NA,yes,yes
Historical Reference,AZE,Azerbaijan,NA,yes,yes
Historical Reference,BHS,Bahamas,NA,yes,yes
Historical Reference,BHR,Bahrain,NA,yes,yes
Historical Reference,BGD,Bangladesh,NA,yes,yes
Historical Reference,BRB,Barbados,NA,yes,yes
Historical Reference,BLR,Belarus,NA,yes,yes
Historical Reference,BEL,Belgium,NA,yes,yes
Historical Reference,BLZ,Belize,NA,yes,yes
Historical Reference,BEN,Benin,NA,yes,yes
Historical Reference,BTN,Bhutan,NA,yes,yes
Historical Reference,BOL,Bolivia,NA,yes,yes
Historical Reference,BIH,Bosnia and Herzegovina,NA,yes,yes
Historical Reference,BWA,Botswana,NA,yes,yes
Historical Reference,BRA,Brazil,NA,yes,yes
Historical Reference,BRN,Brunei Darussalam,NA,yes,yes
Historical Reference,BGR,Bulgaria,NA,yes,yes
Historical Reference,BFA,Burkina Faso,NA,yes,yes
Historical Reference,BDI,Burundi,NA,yes,yes
Historical Reference,CPV,Cabo Verde,NA,yes,yes
Historical Reference,KHM,Cambodia,NA,yes,yes
Historical Reference,CMR,Cameroon,NA,yes,yes
Historical Reference,CAN,Canada,NA,yes,yes
Historical Reference,CAF,Central African Republic,NA,yes,yes
Historical Reference,TCD,Chad,NA,yes,yes
Historical Reference,CHL,Chile,NA,yes,yes
Historical Reference,CHN,China,NA,yes,yes
Historical Reference,COL,Colombia,NA,yes,yes
Historical Reference,COM,Comoros,NA,yes,yes
Historical Reference,COG,Congo,NA,yes,yes
Historical Reference,CRI,Costa Rica,NA,yes,yes
Historical Reference,HRV,Croatia,NA,yes,yes
Historical Reference,CUB,Cuba,NA,yes,yes
Historical Reference,CUW,Curaçao,NA,yes,NA
Historical Reference,CYP,Cyprus,NA,yes,yes
Historical Reference,CZE,Czechia,NA,yes,yes
Historical Reference,CIV,Côte d'Ivoire,NA,yes,yes
Historical Reference,COD,Democratic Republic of the Congo,NA,yes,yes
Historical Reference,DNK,Denmark,NA,yes,yes
Historical Reference,DJI,Djibouti,NA,yes,yes
Historical Reference,DOM,Dominican Republic,NA,yes,yes
Historical Reference,ECU,Ecuador,NA,yes,yes
Historical Reference,EGY,Egypt,NA,yes,yes
Historical Reference,SLV,El Salvador,NA,yes,yes
Historical Reference,GNQ,Equatorial Guinea,NA,yes,yes
Historical Reference,ERI,Eritrea,NA,yes,yes
Historical Reference,EST,Estonia,NA,yes,yes
Historical Reference,SWZ,Eswatini,NA,yes,yes
Historical Reference,ETH,Ethiopia,NA,yes,yes
Historical Reference,FJI,Fiji,NA,yes,yes
Historical Reference,FIN,Finland,NA,yes,yes
Historical Reference,FRA,France,NA,yes,yes
Historical Reference,GUF,French Guiana,NA,yes,yes
Historical Reference,PYF,French Polynesia,NA,yes,yes
Historical Reference,GAB,Gabon,NA,yes,yes
Historical Reference,GMB,Gambia,NA,yes,yes
Historical Reference,GEO,Georgia,NA,yes,yes
Historical Reference,DEU,Germany,NA,yes,yes
Historical Reference,GHA,Ghana,NA,yes,yes
Historical Reference,GRC,Greece,NA,yes,yes
Historical Reference,GRD,Grenada,NA,yes,yes
