scenario,region,year,iso,Population,GDP|PPP,GDP|PPP [per capita],diff.gdp_per_capita,implied.population,diff.population,diff.population.perc
SSP1,French Polynesia,2020,PYF,1.009624,4.61168,15334.3,10766.579739784316,0.30074277925956844,-0.7088812207404316,-0.7021239795611351
SSP1,French Polynesia,2025,PYF,1.047824,5.44737,17536.7,12337.95479088091,0.31062685682026836,-0.7371971431797317,-0.7035505420564252
SSP1,French Polynesia,2030,PYF,1.079251,6.33739,19836.8,13964.773937480713,0.3194764276496209,-0.759774572350379,-0.7039831997842755
SSP1,French Polynesia,2035,PYF,1.102781,7.42357,22736.2,16004.518913728112,0.3265088273326237,-0.7762721726673762,-0.7039223315122188
SSP1,French Polynesia,2040,PYF,1.118633,8.80594,26553,18680.94544770269,0.3316363499416262,-0.7869966500583738,-0.7035342691109362
SSP1,French Polynesia,2045,PYF,1.128269,10.4624,31235.5,21962.53406723042,0.3349522178290727,-0.7933167821709273,-0.7031273412377077
SSP1,French Polynesia,2050,PYF,1.130787,12.2341,36374.9,25555.797905617947,0.33633357067648295,-0.794453429323517,-0.7025668223312764
SSP1,French Polynesia,2055,PYF,1.124315,14.0759,41985.5,29465.96588367139,0.3352562194090817,-0.7890587805909183,-0.7018129088297481
SSP1,French Polynesia,2060,PYF,1.110004,16.0087,48196.8,33774.59971964065,0.3321527570295123,-0.7778512429704877,-0.7007643602820239
SSP1,French Polynesia,2065,PYF,1.093041999999999,18.0309,54970.1,38474.02757094419,0.3280128651757956,-0.7650291348242033,-0.6999082696037334
SSP1,French Polynesia,2070,PYF,1.074742,20.0918,62165.9,43471.3668004042,0.32319647909866983,-0.7515455209013302,-0.6992799396518701
SSP1,French Polynesia,2075,PYF,1.055893,22.1685,69739.1,48744.07493590734,0.3178776324902386,-0.7380153675097614,-0.6989490104676908
SSP1,French Polynesia,2080,PYF,1.036697,24.2676,77772.1,54363.52449529612,0.3120347785388333,-0.7246622214611667,-0.6990106284296826
SSP1,French Polynesia,2085,PYF,1.017016,26.3728,86284.4,60352.85123380556,0.3056496887038677,-0.7113663112961321,-0.69946422799261
SSP1,French Polynesia,2090,PYF,0.9970029999999991,28.4877,95293.3,66719.9657171543,0.2989475650439223,-0.6980554349560768,-0.7001537958823368
SSP1,French Polynesia,2095,PYF,0.9773970000000001,30.622,104766,73435.84449512328,0.292289483229292,-0.6851075167707081,-0.7009511148189611
SSP1,French Polynesia,2100,PYF,0.958294,32.7745,114669,80468.1180159742,0.2858183118366778,-0.6724756881633223,-0.7017425635173781
SSP1,Micronesia (Federated States of),2020,FSM,0.6408830000000001,0.337534,3024.8,2498.1297653393835,0.11158886537952921,-0.5292941346204709,-0.8258826254097407
SSP1,Micronesia (Federated States of),2025,FSM,0.664795999999999,0.353931999999999,3103.23,2570.838108352036,0.11405277726755639,-0.5507432227324427,-0.8284394351537065
SSP1,Micronesia (Federated States of),2030,FSM,0.683327999999999,0.375141,3240.45,2691.458885923011,0.11576818034532241,-0.5675598196546766,-0.8305818284259937
SSP1,Micronesia (Federated States of),2035,FSM,0.695187,0.435913999999999,3748.7,3121.6543273968023,0.11628404513564676,-0.5789029548643533,-0.8327298336481455
SSP1,Micronesia (Federated States of),2040,FSM,0.7000309999999991,0.550983,4777.56,3990.4762851359433,0.11532728003415968,-0.5847037199658394,-0.8352540387009149
SSP1,Micronesia (Federated States of),2045,FSM,0.700882999999999,0.730443,6442.73,5400.554629788422,0.11337476504525255,-0.5875082349547465,-0.8382400984968208
SSP1,Micronesia (Federated States of),2050,FSM,0.697020999999999,0.971741,8791.47,7397.3355334631215,0.11053225456038637,-0.5864887454396126,-0.8414219161827455
SSP1,Micronesia (Federated States of),2055,FSM,0.6881659999999991,1.27747,11943.3,10086.960105265296,0.10696122512203497,-0.5812047748779641,-0.8445706048801668
SSP1,Micronesia (Federated States of),2060,FSM,0.675,1.65311,16056.7,13607.64814814815,0.10295452988472102,-0.5720454701152791,-0.8474747705411542
SSP1,Micronesia (Federated States of),2065,FSM,0.660802999999999,2.10892,21261.5,18070.04959798911,0.0991896150318651,-0.561613384968134,-0.849895331843431
SSP1,Micronesia (Federated States of),2070,FSM,0.646011,2.63967,27626.6,23540.493107083315,0.09554813114896514,-0.5504628688510349,-0.852095194742868
SSP1,Micronesia (Federated States of),2075,FSM,0.6310689999999991,3.24318,35247.7,30108.515536811337,0.09201110994476237,-0.5390578900552367,-0.8541980196384825
SSP1,Micronesia (Federated States of),2080,FSM,0.615709,3.90888,44167,37818.41649707898,0.08850227545452487,-0.5272067245454751,-0.8562595715597388
SSP1,Micronesia (Federated States of),2085,FSM,0.5997300000000001,4.62553,54396.4,46683.712624014144,0.08503375223360371,-0.5146962477663963,-0.8582132755846735
SSP1,Micronesia (Federated States of),2090,FSM,0.582727,5.38176,65941,56705.526098842165,0.08161477684596836,-0.5011122231540316,-0.8599433751208226
SSP1,Micronesia (Federated States of),2095,FSM,0.564901,6.16897,78724.9,67804.45553273936,0.07836110303093431,-0.4865398969690657,-0.8612834761649665
SSP1,Micronesia (Federated States of),2100,FSM,0.546519,6.98402,92697.3,79918.20174358074,0.075342216008449,-0.471176783991551,-0.8621416345846183
SSP2,French Polynesia,2020,PYF,1.009624,4.61168,15334.3,10766.579739784316,0.30074277925956844,-0.7088812207404316,-0.7021239795611351
SSP2,French Polynesia,2025,PYF,1.050509,5.44629,17519.8,12335.37035684606,0.31086485005536596,-0.739644149944634,-0.7040816879671037
SSP2,French Polynesia,2030,PYF,1.086979,6.30972,19708.9,13904.077643726328,0.3201457209686994,-0.7668332790313005,-0.7054720275472668
SSP2,French Polynesia,2035,PYF,1.117326,7.20289,21978.4,15531.857093095481,0.3277258581152404,-0.7896001418847596,-0.7066873427135496
SSP2,French Polynesia,2040,PYF,1.1415,8.19009,24558.2,17383.35111695138,0.33349716184410905,-0.8080028381558909,-0.7078430470047227
SSP2,French Polynesia,2045,PYF,1.158631,9.29443,27562.4,19540.493111611893,0.33721410327112294,-0.8214168967288771,-0.7089547032047969
SSP2,French Polynesia,2050,PYF,1.168234,10.5151,31030.7,22029.849143065516,0.3388611923031063,-0.8293728076968937,-0.7099372280697991
SSP2,French Polynesia,2055,PYF,1.168809,11.845,35036.8,24902.552231545105,0.33807311169969856,-0.8307358883003014,-0.7107541850724125
SSP2,French Polynesia,2060,PYF,1.162243999999999,13.2975,39627.4,28186.170791675406,0.33556327187753926,-0.8266807281224597,-0.711279841515603
SSP2,French Polynesia,2065,PYF,1.153777,14.8763,44757.7,31864.133912272475,0.3323740942899211,-0.8214029057100789,-0.7119251863315692
SSP2,French Polynesia,2070,PYF,1.144521,16.5457,50311.9,35855.45927064685,0.3288625553795424,-0.8156584446204576,-0.7126635899388981
SSP2,French Polynesia,2075,PYF,1.134933,18.2951,56279.4,40159.41758694126,0.3250763156678998,-0.8098566843321002,-0.7135722411209299
SSP2,French Polynesia,2080,PYF,1.125199,20.1367,62737,44840.876736470615,0.3209700814511373,-0.8042289185488627,-0.7147437195988111
SSP2,French Polynesia,2085,PYF,1.115867999999999,22.0774,69698.2,49913.243356382634,0.3167571042006824,-0.7991108957993165,-0.7161338937932777
SSP2,French Polynesia,2090,PYF,1.107313,24.1342,77173.7,55378.41718475263,0.31272570836956115,-0.7945872916304388,-0.7175814712104336
SSP2,French Polynesia,2095,PYF,1.100096999999999,26.3125,85145.9,61227.55461772914,0.3090283853949515,-0.7910686146050475,-0.7190898753519447
SSP2,French Polynesia,2100,PYF,1.094195,28.6113,93603.1,67454.8357509402,0.305666158492614,-0.788528841507386,-0.7206474545281106
SSP2,Micronesia (Federated States of),2020,FSM,0.6408830000000001,0.337534,3024.8,2498.1297653393835,0.11158886537952921,-0.5292941346204709,-0.8258826254097407
SSP2,Micronesia (Federated States of),2025,FSM,0.668153999999999,0.353931999999999,3086.62,2556.90379684923,0.11466652843563478,-0.5534874715643643,-0.8283830846846163
SSP2,Micronesia (Federated States of),2030,FSM,0.6929550000000001,0.375264999999999,3192.48,2650.9368983555946,0.11754654688517986,-0.5754084531148203,-0.8303691482344744
SSP2,Micronesia (Federated States of),2035,FSM,0.7130850000000001,0.428452,3583.94,2983.0971832250016,0.1195477602861655,-0.5935372397138345,-0.832351318165204
SSP2,Micronesia (Federated States of),2040,FSM,0.727665999999999,0.515257,4286.1,3578.0045276266856,0.1202158139100814,-0.6074501860899176,-0.834792591779633
SSP2,Micronesia (Federated States of),2045,FSM,0.737591,0.640459,5353.98,4485.66815780019,0.11962297206937644,-0.6179680279306236,-0.8378193713462116
SSP2,Micronesia (Federated States of),2050,FSM,0.742337999999999,0.812234999999999,6886.25,5792.092082717038,0.11795026320566333,-0.6243877367943357,-0.8411097596975184
SSP2,Micronesia (Federated States of),2055,FSM,0.742105000000001,1.03842,8990.69,7591.4001420957975,0.11549947779313934,-0.6266055222068617,-0.8443623506200078
SSP2,Micronesia (Federated States of),2060,FSM,0.738066999999999,1.32685,11772.6,9974.863480144755,0.11270662385539303,-0.625360376144606,-0.8472948609605996
SSP2,Micronesia (Federated States of),2065,FSM,0.733306,1.69126,15345,13038.650399696717,0.1102157054415119,-0.6230902945584881,-0.8497002541346833
SSP2,Micronesia (Federated States of),2070,FSM,0.728221999999999,2.1369,19819.8,16885.392635212884,0.10781642599824418,-0.6204055740017549,-0.8519456621768577
SSP2,Micronesia (Federated States of),2075,FSM,0.723117,2.67337,25362.6,21665.59107889871,0.10540599149929424,-0.6177110085007058,-0.8542338356043432
SSP2,Micronesia (Federated States of),2080,FSM,0.7173780000000001,3.30457,32117.6,27511.144268154305,0.10288969287867089,-0.6144883071213292,-0.8565753439906564
SSP2,Micronesia (Federated States of),2085,FSM,0.711133999999999,4.03304,40155.4,34484.120044323565,0.10043580689023143,-0.6106981931097676,-0.8587666925076968
SSP2,Micronesia (Federated States of),2090,FSM,0.7039930000000001,4.85941,49512.7,42610.06034307159,0.09814471842577763,-0.6058482815742224,-0.8605885024058796
SSP2,Micronesia (Federated States of),2095,FSM,0.696504999999999,5.78524,60123,51816.900259151036,0.09622340867887497,-0.6002815913211241,-0.8618482154774553
SSP2,Micronesia (Federated States of),2100,FSM,0.689164999999999,6.81913,72006.9,62112.128791363444,0.09470106337031592,-0.5944639366296831,-0.8625857909639694
SSP3,French Polynesia,2020,PYF,1.009624,4.61168,15334.3,10766.579739784316,0.30074277925956844,-0.7088812207404316,-0.7021239795611351
SSP3,French Polynesia,2025,PYF,1.065672,5.43604,17368.8,12267.755776261363,0.312977292616646,-0.752694707383354,-0.706309922174322
SSP3,French Polynesia,2030,PYF,1.123041,6.22304,19135,13593.759742520531,0.32521766396655344,-0.7978233360334466,-0.7104133651696123
SSP3,French Polynesia,2035,PYF,1.179506,6.87193,20421.4,14595.29144268872,0.33650631200603287,-0.8429996879939671,-0.7147057225600948
SSP3,French Polynesia,2040,PYF,1.234441,7.40872,21371.6,15369.919887301214,0.34666192517172323,-0.8877790748282767,-0.719174974606544
SSP3,French Polynesia,2045,PYF,1.283143,7.83582,22089.5,15982.760532925793,0.35473052807895156,-0.9284124719210484,-0.7235456000781273
SSP3,French Polynesia,2050,PYF,1.325562,8.23905,22827.3,16611.785372996506,0.3609296763086305,-0.9646323236913694,-0.7277157339237014
SSP3,French Polynesia,2055,PYF,1.360919,8.64798,23680.3,17325.785146434137,0.36519723145399346,-0.9957217685460065,-0.731653954824649
SSP3,French Polynesia,2060,PYF,1.392332,9.06924,24598.6,18084.894935403336,0.36868927499939025,-1.0236427250006097,-0.7352001713676118
SSP3,French Polynesia,2065,PYF,1.423359,9.50947,25548,18866.9940134569,0.37221974322843276,-1.0511392567715672,-0.7384920155572607
SSP3,French Polynesia,2070,PYF,1.454397999999999,9.95637,26476.4,19630.70164232899,0.376046970131891,-1.078351029868108,-0.7414414966660493
SSP3,French Polynesia,2075,PYF,1.485323999999999,10.4235,27421,20403.33920679932,0.3801283687684621,-1.105195631231537,-0.7440771382079181
SSP3,French Polynesia,2080,PYF,1.516668,10.9323,28431.6,21223.49644668444,0.38451230321191915,-1.1321556967880808,-0.7464756273542271
SSP3,French Polynesia,2085,PYF,1.549691,11.4975,29509.9,22090.6790069117,0.3896150105557796,-1.1600759894442203,-0.7485853563350503
SSP3,French Polynesia,2090,PYF,1.585078,12.1279,30646.3,22995.004606334827,0.3957378215314737,-1.1893401784685262,-0.7503354273218897
SSP3,French Polynesia,2095,PYF,1.623765,12.8255,31823,23924.381665450357,0.4030261131885743,-1.2207388868114255,-0.7517952947695175
SSP3,French Polynesia,2100,PYF,1.666045,13.5998,33038.6,24875.675229060438,0.411633664864734,-1.254411335135266,-0.7529276430920329
SSP3,Micronesia (Federated States of),2020,FSM,0.6408830000000001,0.337534,3024.8,2498.1297653393835,0.11158886537952921,-0.5292941346204709,-0.8258826254097407
