model,scenario,region,variable,unit,year,iso,v20250417_gdp,v3_1,difference,difference_percentage
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2020,ALB,38.6186,38.6186,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2025,ALB,48.8271,48.8271,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2030,ALB,58.0645,58.0645,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2035,ALB,68.4202,68.4202,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2040,ALB,79.2761,79.2761,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2045,ALB,89.3166,89.3166,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2050,ALB,97.1609,97.1609,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2055,ALB,103.257,103.257,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2060,ALB,108.274,108.274,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2065,ALB,113.047,113.047,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2070,ALB,117.746,117.746,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2075,ALB,121.665,121.665,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2080,ALB,124.77,124.77,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2085,ALB,127.062,127.062,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2090,ALB,128.632,128.632,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2095,ALB,129.482,129.482,0,0
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2100,ALB,129.816,129.816,0,0
OECD ENV-Growth 2023,SSP1,Algeria,GDP|PPP,billion USD_2017/yr,2020,DZA,463.722,463.722,0,0
OECD ENV-Growth 2023,SSP1,Algeria,GDP|PPP,billion USD_2017/yr,2025,DZA,543.288,543.288,0,0
OECD ENV-Growth 2023,SSP1,Algeria,GDP|PPP,billion USD_2017/yr,2030,DZA,595.889,595.889,0,0
