model,scenario,region,iso,variable,unit,year,value
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2010,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2015,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2020,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2025,13900.440610291067
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2030,16150.916820796183
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2035,18483.03113139828
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2040,20866.98529606336
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2045,23230.22194226543
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2050,25472.681222870116
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2055,27707.58011853679
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2060,30012.782066306205
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2065,32501.698332661035
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2070,35191.88185333194
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2075,37990.95367524697
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2080,40899.6215452469
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2085,43940.921595899476
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2090,47179.489423619125
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2095,50636.45507046984
OECD ENV-Growth (supplemental),SSP1,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2100,54366.70739070667
OECD ENV-Growth (supplemental),SSP2,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2010,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2015,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2020,10941.73396082596
OECD ENV-Growth (supplemental),SSP2,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2025,13900.440610291067
OECD ENV-Growth (supplemental),SSP2,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2030,16046.228039947791
OECD ENV-Growth (supplemental),SSP2,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2035,17902.399517461254
OECD ENV-Growth (supplemental),SSP2,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2040,19534.380912791643
OECD ENV-Growth (supplemental),SSP2,Kosovo,XKX,GDP|PPP [per capita],USD_2017/yr,2045,21120.939660206725
