model,scenario,region,variable,unit,year,iso,v20250417_gdp,v3_1,difference,difference_percentage
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2010,XKX,NA,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2015,XKX,NA,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2020,XKX,NA,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2025,XKX,13900.440610291069,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2030,XKX,16150.916820796185,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2035,XKX,18483.03113139828,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2040,XKX,20866.98529606336,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2045,XKX,23230.22194226543,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2050,XKX,25472.681222870116,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2055,XKX,27707.58011853679,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2060,XKX,30012.782066306205,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2065,XKX,32501.698332661035,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2070,XKX,35191.88185333194,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2075,XKX,37990.95367524697,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2080,XKX,40899.6215452469,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2085,XKX,43940.921595899476,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2090,XKX,47179.489423619125,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2095,XKX,50636.45507046984,NA,NA,NA
OECD ENV-Growth (supplemental),SSP1,Kosovo,GDP|PPP [per capita],USD_2017/yr,2100,XKX,54366.70739070667,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2010,XKX,NA,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2015,XKX,NA,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2020,XKX,10941.73396082596,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2025,XKX,13900.440610291069,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2030,XKX,16046.228039947791,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2035,XKX,17902.399517461254,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2040,XKX,19534.380912791643,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2045,XKX,21120.939660206725,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2050,XKX,22773.083889691072,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2055,XKX,24560.073182821456,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2060,XKX,26472.38448287934,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2065,XKX,28555.329595908785,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2070,XKX,30814.50031324161,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2075,XKX,33202.184632624085,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2080,XKX,35772.52607091249,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2085,XKX,38587.3191823457,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2090,XKX,41697.690255019086,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2095,XKX,45086.788469146595,NA,NA,NA
OECD ENV-Growth (supplemental),SSP2,Kosovo,GDP|PPP [per capita],USD_2017/yr,2100,XKX,48713.059476659975,NA,NA,NA
OECD ENV-Growth (supplemental),SSP3,Kosovo,GDP|PPP [per capita],USD_2017/yr,2010,XKX,NA,NA,NA,NA
OECD ENV-Growth (supplemental),SSP3,Kosovo,GDP|PPP [per capita],USD_2017/yr,2015,XKX,NA,NA,NA,NA
