model,scenario,region,variable,unit,year,value,iso
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2020,38.6186,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2025,48.8271,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2030,58.0645,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2035,68.4202,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2040,79.2761,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2045,89.3166,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2050,97.1609,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2055,103.257,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2060,108.274,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2065,113.047,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2070,117.746,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2075,121.665,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2080,124.77,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2085,127.062,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2090,128.632,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2095,129.482,ALB
OECD ENV-Growth 2023,SSP1,Albania,GDP|PPP,billion USD_2017/yr,2100,129.816,ALB
OECD ENV-Growth 2023,SSP1,Algeria,GDP|PPP,billion USD_2017/yr,2020,463.722,DZA
OECD ENV-Growth 2023,SSP1,Algeria,GDP|PPP,billion USD_2017/yr,2025,543.288,DZA
OECD ENV-Growth 2023,SSP1,Algeria,GDP|PPP,billion USD_2017/yr,2030,595.889,DZA
OECD ENV-Growth 2023,SSP1,Algeria,GDP|PPP,billion USD_2017/yr,2035,670.833,DZA
