model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
OECD ENV-Growth 2025,Afghanistan,GDP|PPP,billion USD_2017/yr,2025,65.6637,65.5636,65.6637,65.6707,65.8619,65.6721,FALSE,FALSE,TRUE,0.2983000000000118
OECD ENV-Growth 2025,Africa (R10),GDP|PPP,billion USD_2017/yr,2025,7841.213409,7841.139789,7841.213409,7841.225699000001,7841.293799,7841.242189000001,FALSE,FALSE,TRUE,0.1540100000001985
OECD ENV-Growth 2025,Albania,GDP|PPP,billion USD_2017/yr,2025,48.8271,48.8271,48.8271,48.8271,48.8271,48.8271,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Algeria,GDP|PPP,billion USD_2017/yr,2025,543.288,543.288,543.288,543.288,543.288,543.288,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Angola,GDP|PPP,billion USD_2017/yr,2025,227.037,227.037,227.037,227.037,227.037,227.037,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Antigua and Barbuda,GDP|PPP,billion USD_2017/yr,2025,2.333,2.333,2.333,2.333,2.333,2.333,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Argentina,GDP|PPP,billion USD_2017/yr,2025,861.741,861.741,861.741,861.741,861.741,861.741,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Armenia,GDP|PPP,billion USD_2017/yr,2025,52.4338,52.4338,52.4338,52.4338,52.4338,52.4338,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Aruba,GDP|PPP,billion USD_2017/yr,2025,4.602370000000001,4.602370000000001,4.602370000000001,4.602370000000001,4.602370000000001,4.602370000000001,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Asia (R5),GDP|PPP,billion USD_2017/yr,2025,59889.892373,59890.148653,59889.892373,59889.781723,59889.62380299999,59890.271343,FALSE,FALSE,TRUE,0.6475400000126683
OECD ENV-Growth 2025,Australia,GDP|PPP,billion USD_2017/yr,2025,1383.38,1383.38,1383.38,1383.38,1383.38,1383.38,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Austria,GDP|PPP,billion USD_2017/yr,2025,485.038,485.038,485.038,485.038,485.038,485.038,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Azerbaijan,GDP|PPP,billion USD_2017/yr,2025,164.983,164.983,164.983,164.983,164.983,164.983,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bahamas,GDP|PPP,billion USD_2017/yr,2025,15.3387,15.3387,15.3387,15.3387,15.3387,15.3387,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bahrain,GDP|PPP,billion USD_2017/yr,2025,83.7891,83.7891,83.7891,83.7891,83.7891,83.7891,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bangladesh,GDP|PPP,billion USD_2017/yr,2025,1371.5,1371.5,1371.5,1371.5,1371.5,1371.5,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Barbados,GDP|PPP,billion USD_2017/yr,2025,4.74368,4.74368,4.74368,4.74368,4.74368,4.74368,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Belarus,GDP|PPP,billion USD_2017/yr,2025,184.177,184.177,184.177,184.177,184.177,184.177,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Belgium,GDP|PPP,billion USD_2017/yr,2025,605.902,605.902,605.902,605.902,605.902,605.902,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Belize,GDP|PPP,billion USD_2017/yr,2025,4.34084,4.34084,4.34084,4.34084,4.34084,4.34084,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Benin,GDP|PPP,billion USD_2017/yr,2025,54.5112,54.5112,54.5112,54.5112,54.5112,54.5112,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bhutan,GDP|PPP,billion USD_2017/yr,2025,9.65527,9.65527,9.65527,9.65527,9.65527,9.65527,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bolivia,GDP|PPP,billion USD_2017/yr,2025,106.494,106.494,106.494,106.494,106.494,106.494,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bosnia and Herzegovina,GDP|PPP,billion USD_2017/yr,2025,58.9414,58.9414,58.9414,58.9414,58.9414,58.9414,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Botswana,GDP|PPP,billion USD_2017/yr,2025,46.0452,46.0452,46.0452,46.0452,46.0452,46.0452,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Brazil,GDP|PPP,billion USD_2017/yr,2025,3409.83,3409.83,3409.83,3409.83,3409.83,3409.83,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Brunei Darussalam,GDP|PPP,billion USD_2017/yr,2025,27.8239,27.8239,27.8239,27.8239,27.8239,27.8239,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Bulgaria,GDP|PPP,billion USD_2017/yr,2025,187.916,187.916,187.916,187.916,187.916,187.916,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Burkina Faso,GDP|PPP,billion USD_2017/yr,2025,57.8578,57.8578,57.8578,57.8578,57.8578,57.8578,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Burundi,GDP|PPP,billion USD_2017/yr,2025,10.5911,10.5911,10.5911,10.5911,10.5911,10.5911,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Cabo Verde,GDP|PPP,billion USD_2017/yr,2025,5.10428,5.10428,5.10428,5.10428,5.10428,5.10428,TRUE,TRUE,TRUE,0
