model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
OECD ENV-Growth 2025,Iceland,GDP|PPP [per capita],USD_2017/yr,2025,58245.58142005391,58053.32175699213,58245.58142005391,58053.32175699213,58053.32175699213,58053.32175699213,FALSE,FALSE,TRUE,192.25966306177725
OECD ENV-Growth 2025,India,GDP|PPP [per capita],USD_2017/yr,2025,8199.958235135819,8199.958235135819,8199.958235135819,8199.958235135819,8199.958235135819,8199.958235135819,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,India (R9),GDP|PPP [per capita],USD_2017/yr,2025,8199.958235135819,8199.958235135819,8199.958235135819,8199.958235135819,8199.958235135819,8199.958235135819,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,India+ (R10),GDP|PPP [per capita],USD_2017/yr,2025,7663.961053177421,7663.91019127614,7663.961053177421,7663.964609953735,7664.061760758182,7663.965321308998,FALSE,FALSE,TRUE,0.15156948204185028
OECD ENV-Growth 2025,Indonesia,GDP|PPP [per capita],USD_2017/yr,2025,14268.93961118748,14268.93961118748,14268.93961118748,14268.93961118748,14268.93961118748,14268.93961118748,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Iran,GDP|PPP [per capita],USD_2017/yr,2025,16250.34264680263,16250.34264680263,16250.34264680263,16250.34264680263,16250.34264680263,16250.34264680263,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Iraq,GDP|PPP [per capita],USD_2017/yr,2025,9469.50151464943,9469.50151464943,9469.50151464943,9469.50151464943,9469.50151464943,9469.50151464943,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Ireland,GDP|PPP [per capita],USD_2017/yr,2025,114027.9157316759,113167.6545074246,114027.9157316759,113167.6545074246,113167.6545074246,113167.6545074246,FALSE,FALSE,TRUE,860.2612242512987
OECD ENV-Growth 2025,Israel,GDP|PPP [per capita],USD_2017/yr,2025,46906.92766549204,46906.92766549204,46906.92766549204,46906.92766549204,46906.92766549204,46906.92766549204,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Italy,GDP|PPP [per capita],USD_2017/yr,2025,41671.53011833598,41576.95590840592,41671.53011833598,41576.95590840592,41576.95590840592,41576.95590840592,FALSE,FALSE,TRUE,94.57420993005508
OECD ENV-Growth 2025,Jamaica,GDP|PPP [per capita],USD_2017/yr,2025,10645.31476433542,10645.31476433542,10645.31476433542,10645.31476433542,10645.31476433542,10645.31476433542,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Japan,GDP|PPP [per capita],USD_2017/yr,2025,44789.79934318169,44789.79934318169,44789.79934318169,44789.79934318169,44789.79934318169,44789.79934318169,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Jordan,GDP|PPP [per capita],USD_2017/yr,2025,9597.26788329312,9597.26788329312,9597.26788329312,9597.26788329312,9597.26788329312,9597.26788329312,TRUE,TRUE,TRUE,0
OECD ENV-Growth 2025,Kazakhstan,GDP|PPP [per capita],USD_2017/yr,2025,29409.52824799226,29409.52824799226,29409.52824799226,29409.52824799226,29409.52824799226,29409.52824799226,TRUE,TRUE,TRUE,0
