model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
IIASA-WiC POP 2025,China+ (R10),Population,million,2025,1516.021663,1516.021663,1516.021663,1516.021663,1516.021663,1516.021663,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Colombia,Population,million,2025,52.41844200000001,52.41844200000001,52.41844200000001,52.41844200000001,52.41844200000001,52.41844200000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Comoros,Population,million,2025,0.880919,0.880919,0.880919,0.880919,0.880919,0.880919,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Congo,Population,million,2025,6.343255,6.343255,6.343255,6.343255,6.343255,6.343255,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Costa Rica,Population,million,2025,5.256994,5.256994,5.256994,5.256994,5.256994,5.256994,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Croatia,Population,million,2025,3.980758,3.995412,3.980758,3.995412,3.995412,3.995412,FALSE,FALSE,TRUE,0.014654000000000167
IIASA-WiC POP 2025,Cuba,Population,million,2025,11.211281,11.211281,11.211281,11.211281,11.211281,11.211281,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Curaçao,Population,million,2025,0.19498,0.19498,0.19498,0.19498,0.19498,0.19498,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Cyprus,Population,million,2025,1.284492,1.295422,1.284492,1.295422,1.295422,1.295422,FALSE,FALSE,TRUE,0.010930000000000106
IIASA-WiC POP 2025,Czechia,Population,million,2025,10.851138,11.205967,10.851138,11.205967,11.205967,11.205967,FALSE,FALSE,TRUE,0.35482899999999873
IIASA-WiC POP 2025,Côte d'Ivoire,Population,million,2025,29.762711,29.762711,29.762711,29.762711,29.762711,29.762711,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Democratic Republic of the Congo,Population,million,2025,107.546464,107.546464,107.546464,107.546464,107.546464,107.546464,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Denmark,Population,million,2025,5.903302,5.931294,5.903302,5.931294,5.931294,5.931294,FALSE,FALSE,TRUE,0.02799200000000024
IIASA-WiC POP 2025,Djibouti,Population,million,2025,1.154103,1.154103,1.154103,1.154103,1.154103,1.154103,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Dominican Republic,Population,million,2025,11.537089,11.537089,11.537089,11.537089,11.537089,11.537089,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Ecuador,Population,million,2025,18.413986,18.413986,18.413986,18.413986,18.413986,18.413986,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Egypt,Population,million,2025,116.004863,116.004863,116.004863,116.004863,116.004863,116.004863,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,El Salvador,Population,million,2025,6.373113999999999,6.373113999999999,6.373113999999999,6.373113999999999,6.373113999999999,6.373113999999999,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Equatorial Guinea,Population,million,2025,1.790756,1.790756,1.790756,1.790756,1.790756,1.790756,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Eritrea,Population,million,2025,3.85609,3.85609,3.85609,3.85609,3.85609,3.85609,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Estonia,Population,million,2025,1.347628,1.390788,1.347628,1.390788,1.390788,1.390788,FALSE,FALSE,TRUE,0.043159999999999865
IIASA-WiC POP 2025,Eswatini,Population,million,2025,1.230944,1.230944,1.230944,1.230944,1.230944,1.230944,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Ethiopia,Population,million,2025,130.851847,130.851847,130.851847,130.851847,130.851847,130.851847,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Europe (R10),Population,million,2025,633.525503,637.262113,633.525503,637.262113,637.262113,637.262113,FALSE,FALSE,TRUE,3.7366100000000415
IIASA-WiC POP 2025,European Union (R9),Population,million,2025,446.2266780000001,449.625295,446.2266780000001,449.625295,449.625295,449.625295,FALSE,FALSE,TRUE,3.398616999999888
IIASA-WiC POP 2025,Fiji,Population,million,2025,0.941961999999999,0.941961999999999,0.941961999999999,0.941961999999999,0.941961999999999,0.941961999999999,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Finland,Population,million,2025,5.536560000000001,5.56727400000001,5.536560000000001,5.56727400000001,5.56727400000001,5.56727400000001,FALSE,FALSE,TRUE,0.030714000000009456
IIASA-WiC POP 2025,France,Population,million,2025,65.106109,65.187006,65.106109,65.187006,65.187006,65.187006,FALSE,FALSE,TRUE,0.08089699999999311
IIASA-WiC POP 2025,French Guiana,Population,million,2025,0.321887,0.321887,0.321887,0.321887,0.321887,0.321887,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,French Polynesia,Population,million,2025,0.310863,0.310863,0.310863,0.310863,0.310863,0.310863,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Gabon,Population,million,2025,2.512271,2.512271,2.512271,2.512271,2.512271,2.512271,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Gambia,Population,million,2025,2.843788,2.843788,2.843788,2.843788,2.843788,2.843788,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Georgia,Population,million,2025,3.621957,3.644065,3.621957,3.644065,3.644065,3.644065,FALSE,FALSE,TRUE,0.022107999999999794
IIASA-WiC POP 2025,Germany,Population,million,2025,83.5960050000001,84.409784,83.5960050000001,84.409784,84.409784,84.409784,FALSE,FALSE,TRUE,0.8137789999998972
IIASA-WiC POP 2025,Ghana,Population,million,2025,35.282895,35.282895,35.282895,35.282895,35.282895,35.282895,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Greece,Population,million,2025,10.364011,10.379712,10.364011,10.379712,10.379712,10.379712,FALSE,FALSE,TRUE,0.015700999999999965
IIASA-WiC POP 2025,Grenada,Population,million,2025,0.126268,0.126268,0.126268,0.126268,0.126268,0.126268,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Guadeloupe,Population,million,2025,0.397751,0.397751,0.397751,0.397751,0.397751,0.397751,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Guam,Population,million,2025,0.173227,0.173227,0.173227,0.173227,0.173227,0.173227,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Guatemala,Population,million,2025,18.589952,18.589952,18.589952,18.589952,18.589952,18.589952,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Guinea,Population,million,2025,14.62162,14.62162,14.62162,14.62162,14.62162,14.62162,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Guinea-Bissau,Population,million,2025,2.214987,2.214987,2.214987,2.214987,2.214987,2.214987,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Guyana,Population,million,2025,0.808134,0.808134,0.808134,0.808134,0.808134,0.808134,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Haiti,Population,million,2025,12.018019,12.018019,12.018019,12.018019,12.018019,12.018019,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Honduras,Population,million,2025,10.827569,10.827569,10.827569,10.827569,10.827569,10.827569,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Hong Kong,Population,million,2025,7.535771,7.535771,7.535771,7.535771,7.535771,7.535771,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Hungary,Population,million,2025,9.592585,9.616922,9.592585,9.616922,9.616922,9.616922,FALSE,FALSE,TRUE,0.02433700000000094
IIASA-WiC POP 2025,Iceland,Population,million,2025,0.376535,0.377782,0.376535,0.377782,0.377782,0.377782,FALSE,FALSE,TRUE,0.0012469999999999981
IIASA-WiC POP 2025,India,Population,million,2025,1445.482972,1445.482972,1445.482972,1445.482972,1445.482972,1445.482972,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,India (R9),Population,million,2025,1445.482972,1445.482972,1445.482972,1445.482972,1445.482972,1445.482972,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,India+ (R10),Population,million,2025,1968.074285,1968.074285,1968.074285,1968.074285,1968.074285,1968.074285,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Indonesia,Population,million,2025,280.697803,280.697803,280.697803,280.697803,280.697803,280.697803,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Iran,Population,million,2025,90.6947030000001,90.6947030000001,90.6947030000001,90.6947030000001,90.6947030000001,90.6947030000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Iraq,Population,million,2025,47.025073,47.025073,47.025073,47.025073,47.025073,47.025073,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Ireland,Population,million,2025,5.123491,5.162438,5.123491,5.162438,5.162438,5.162438,FALSE,FALSE,TRUE,0.03894700000000029
IIASA-WiC POP 2025,Israel,Population,million,2025,9.371281000000002,9.371281000000002,9.371281000000002,9.371281000000002,9.371281000000002,9.371281000000002,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Italy,Population,million,2025,58.934481,59.068538,58.934481,59.068538,59.068538,59.068538,FALSE,FALSE,TRUE,0.13405699999999854
IIASA-WiC POP 2025,Jamaica,Population,million,2025,2.835407,2.835407,2.835407,2.835407,2.835407,2.835407,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Japan,Population,million,2025,122.475878,122.475878,122.475878,122.475878,122.475878,122.475878,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Jordan,Population,million,2025,11.893489,11.893489,11.893489,11.893489,11.893489,11.893489,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Kazakhstan,Population,million,2025,19.792327,19.792327,19.792327,19.792327,19.792327,19.792327,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Kenya,Population,million,2025,56.833242,56.833242,56.833242,56.833242,56.833242,56.833242,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Kiribati,Population,million,2025,0.136069,0.136069,0.136069,0.136069,0.136069,0.136069,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Kosovo,Population,million,2025,1.774432,1.774432,1.774432,1.774432,1.774432,1.774432,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Kuwait,Population,million,2025,4.737165,4.737165,4.737165,4.737165,4.737165,4.737165,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Kyrgyzstan,Population,million,2025,6.897813,6.897813,6.897813,6.897813,6.897813,6.897813,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Laos,Population,million,2025,7.767739,7.767739,7.767739,7.767739,7.767739,7.767739,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Latin America (R10),Population,million,2025,671.135331,671.135331,671.135331,671.135331,671.135331,671.135331,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Latin America (R5),Population,million,2025,668.026012,668.026012,668.026012,668.026012,668.026012,668.026012,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Latin America (R9),Population,million,2025,668.026012,668.026012,668.026012,668.026012,668.026012,668.026012,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Latvia,Population,million,2025,1.836499,1.867438,1.836499,1.867438,1.867438,1.867438,FALSE,FALSE,TRUE,0.030938999999999828
IIASA-WiC POP 2025,Lebanon,Population,million,2025,5.93967100000001,5.93967100000001,5.93967100000001,5.93967100000001,5.93967100000001,5.93967100000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Lesotho,Population,million,2025,2.348805,2.348805,2.348805,2.348805,2.348805,2.348805,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Liberia,Population,million,2025,5.653457,5.653457,5.653457,5.653457,5.653457,5.653457,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Libya,Population,million,2025,7.042351,7.042351,7.042351,7.042351,7.042351,7.042351,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Lithuania,Population,million,2025,2.725074,2.778112,2.725074,2.778112,2.778112,2.778112,FALSE,FALSE,TRUE,0.05303799999999992
IIASA-WiC POP 2025,Luxembourg,Population,million,2025,0.655149999999999,0.6604099999999999,0.655149999999999,0.6604099999999999,0.6604099999999999,0.6604099999999999,FALSE,FALSE,TRUE,0.005260000000000931
IIASA-WiC POP 2025,Macao,Population,million,2025,0.698767,0.698767,0.698767,0.698767,0.698767,0.698767,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Madagascar,Population,million,2025,31.357004,31.357004,31.357004,31.357004,31.357004,31.357004,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Malawi,Population,million,2025,21.722635,21.722635,21.722635,21.722635,21.722635,21.722635,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Malaysia,Population,million,2025,34.725784,34.725784,34.725784,34.725784,34.725784,34.725784,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Maldives,Population,million,2025,0.5482279999999999,0.5482279999999999,0.5482279999999999,0.5482279999999999,0.5482279999999999,0.5482279999999999,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Mali,Population,million,2025,24.361669,24.361669,24.361669,24.361669,24.361669,24.361669,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Malta,Population,million,2025,0.5174030000000001,0.518625,0.5174030000000001,0.518625,0.518625,0.518625,FALSE,FALSE,TRUE,0.0012219999999999454
IIASA-WiC POP 2025,Martinique,Population,million,2025,0.366326,0.366326,0.366326,0.366326,0.366326,0.366326,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Mauritania,Population,million,2025,5.009208,5.009208,5.009208,5.009208,5.009208,5.009208,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Mauritius,Population,million,2025,1.29863,1.29863,1.29863,1.29863,1.29863,1.29863,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Mayotte,Population,million,2025,0.356558,0.356558,0.356558,0.356558,0.356558,0.356558,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Mexico,Population,million,2025,130.41403,130.41403,130.41403,130.41403,130.41403,130.41403,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Micronesia,Population,million,2025,0.114689,0.114689,0.114689,0.114689,0.114689,0.114689,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Middle East & Africa (R5),Population,million,2025,1803.141284,1803.141284,1803.141284,1803.141284,1803.141284,1803.141284,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Middle East & Africa (R9),Population,million,2025,1803.141284,1803.141284,1803.141284,1803.141284,1803.141284,1803.141284,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Middle East (R10),Population,million,2025,291.8110940000001,291.8110940000001,291.8110940000001,291.8110940000001,291.8110940000001,291.8110940000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Moldova,Population,million,2025,3.054643,3.130513,3.054643,3.130513,3.130513,3.130513,FALSE,FALSE,TRUE,0.0758700000000001
IIASA-WiC POP 2025,Mongolia,Population,million,2025,3.507299,3.507299,3.507299,3.507299,3.507299,3.507299,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Montenegro,Population,million,2025,0.648656999999999,0.669184,0.648656999999999,0.669184,0.669184,0.669184,FALSE,FALSE,TRUE,0.02052700000000096
IIASA-WiC POP 2025,Morocco,Population,million,2025,38.40947800000001,38.40947800000001,38.40947800000001,38.40947800000001,38.40947800000001,38.40947800000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Mozambique,Population,million,2025,35.042684,35.042684,35.042684,35.042684,35.042684,35.042684,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Myanmar,Population,million,2025,54.951374,54.951374,54.951374,54.951374,54.951374,54.951374,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Namibia,Population,million,2025,2.679352,2.679352,2.679352,2.679352,2.679352,2.679352,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Nepal,Population,million,2025,30.601911,30.601911,30.601911,30.601911,30.601911,30.601911,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Netherlands,Population,million,2025,17.582513,17.639546,17.582513,17.639546,17.639546,17.639546,FALSE,FALSE,TRUE,0.057033000000000555
IIASA-WiC POP 2025,New Caledonia,Population,million,2025,0.299259,0.299259,0.299259,0.299259,0.299259,0.299259,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,New Zealand,Population,million,2025,5.179058,5.179058,5.179058,5.179058,5.179058,5.179058,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Nicaragua,Population,million,2025,7.160782,7.160782,7.160782,7.160782,7.160782,7.160782,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Niger,Population,million,2025,28.709716,28.709716,28.709716,28.709716,28.709716,28.709716,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Nigeria,Population,million,2025,232.14437,232.14437,232.14437,232.14437,232.14437,232.14437,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,North America (R10),Population,million,2025,380.778844,380.929862,380.778844,380.929862,380.929862,380.929862,FALSE,FALSE,TRUE,0.15101800000002186
IIASA-WiC POP 2025,North Korea,Population,million,2025,26.39872,26.39872,26.39872,26.39872,26.39872,26.39872,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,North Macedonia,Population,million,2025,2.095603,2.098363,2.095603,2.098363,2.098363,2.098363,FALSE,FALSE,TRUE,0.0027599999999998737
IIASA-WiC POP 2025,Norway,Population,million,2025,5.506107,5.526145000000001,5.506107,5.526145000000001,5.526145000000001,5.526145000000001,FALSE,FALSE,TRUE,0.020038000000001333
IIASA-WiC POP 2025,OECD & EU (R5),Population,million,2025,1171.627861,1175.515489,1171.627861,1175.515489,1175.515489,1175.515489,FALSE,FALSE,TRUE,3.8876279999999497
IIASA-WiC POP 2025,Oman,Population,million,2025,4.99153200000001,4.99153200000001,4.99153200000001,4.99153200000001,4.99153200000001,4.99153200000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Other Asia (R9),Population,million,2025,1336.39012,1336.39012,1336.39012,1336.39012,1336.39012,1336.39012,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Other OECD (R9),Population,million,2025,383.4317169999998,383.836923,383.4317169999998,383.836923,383.836923,383.836923,FALSE,FALSE,TRUE,0.4052060000001916
IIASA-WiC POP 2025,Pacific OECD (R10),Population,million,2025,154.214195,154.214195,154.214195,154.214195,154.214195,154.214195,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Pakistan,Population,million,2025,248.722589,248.722589,248.722589,248.722589,248.722589,248.722589,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Palestine,Population,million,2025,5.559569000000001,5.559569000000001,5.559569000000001,5.559569000000001,5.559569000000001,5.559569000000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Panama,Population,million,2025,4.540154,4.540154,4.540154,4.540154,4.540154,4.540154,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Papua New Guinea,Population,million,2025,10.657199,10.657199,10.657199,10.657199,10.657199,10.657199,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Paraguay,Population,million,2025,7.003398000000001,7.003398000000001,7.003398000000001,7.003398000000001,7.003398000000001,7.003398000000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Peru,Population,million,2025,34.546824,34.546824,34.546824,34.546824,34.546824,34.546824,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Philippines,Population,million,2025,119.754409,119.754409,119.754409,119.754409,119.754409,119.754409,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Poland,Population,million,2025,39.009959,40.144172,39.009959,40.144172,40.144172,40.144172,FALSE,FALSE,TRUE,1.1342129999999955
IIASA-WiC POP 2025,Portugal,Population,million,2025,10.196377,10.238051,10.196377,10.238051,10.238051,10.238051,FALSE,FALSE,TRUE,0.04167400000000043
IIASA-WiC POP 2025,Puerto Rico,Population,million,2025,3.109319,3.109319,3.109319,3.109319,3.109319,3.109319,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Qatar,Population,million,2025,3.125791,3.125791,3.125791,3.125791,3.125791,3.125791,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Reforming Economies (R10),Population,million,2025,290.991358,293.1272980000001,290.991358,293.1272980000001,293.1272980000001,293.1272980000001,FALSE,FALSE,TRUE,2.1359400000001187
IIASA-WiC POP 2025,Reforming Economies (R5),Population,million,2025,290.991358,293.1272980000001,290.991358,293.1272980000001,293.1272980000001,293.1272980000001,FALSE,FALSE,TRUE,2.1359400000001187
IIASA-WiC POP 2025,Reforming Economies (R9),Population,million,2025,290.991358,293.1272980000001,290.991358,293.1272980000001,293.1272980000001,293.1272980000001,FALSE,FALSE,TRUE,2.1359400000001187
IIASA-WiC POP 2025,Rest of Asia (R10),Population,million,2025,732.379799,732.379799,732.379799,732.379799,732.379799,732.379799,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Romania,Population,million,2025,18.885716,18.957938,18.885716,18.957938,18.957938,18.957938,FALSE,FALSE,TRUE,0.07222200000000001
IIASA-WiC POP 2025,Russian Federation,Population,million,2025,145.394341,147.417532,145.394341,147.417532,147.417532,147.417532,FALSE,FALSE,TRUE,2.023190999999997
IIASA-WiC POP 2025,Rwanda,Population,million,2025,14.570678,14.570678,14.570678,14.570678,14.570678,14.570678,TRUE,TRUE,TRUE,0
