model,region,variable,unit,year,Historical Reference,SSP1,SSP2,SSP3,SSP4,SSP5,all_equal,all_ssps_equal,hist_ssp2_equal,max_diff
IIASA-WiC POP 2025,Afghanistan,Population,million,2025,44.16620500000001,44.16620500000001,44.16620500000001,44.16620500000001,44.16620500000001,44.16620500000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Africa (R10),Population,million,2025,1511.33019,1511.33019,1511.33019,1511.33019,1511.33019,1511.33019,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Albania,Population,million,2025,2.793087,2.795412,2.793087,2.795412,2.795412,2.795412,FALSE,FALSE,TRUE,0.0023249999999999105
IIASA-WiC POP 2025,Algeria,Population,million,2025,46.733889,46.733889,46.733889,46.733889,46.733889,46.733889,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Angola,Population,million,2025,38.360074,38.360074,38.360074,38.360074,38.360074,38.360074,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Antigua and Barbuda,Population,million,2025,0.095485,0.095485,0.095485,0.095485,0.095485,0.095485,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Argentina,Population,million,2025,46.045355,46.045355,46.045355,46.045355,46.045355,46.045355,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Armenia,Population,million,2025,2.762253,2.762656,2.762253,2.762656,2.762656,2.762656,FALSE,FALSE,TRUE,4.029999999999312e-4
IIASA-WiC POP 2025,Aruba,Population,million,2025,0.1088,0.1088,0.1088,0.1088,0.1088,0.1088,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Asia (R5),Population,million,2025,4216.475747,4216.475747,4216.475747,4216.475747,4216.475747,4216.475747,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Australia,Population,million,2025,26.559259,26.559259,26.559259,26.559259,26.559259,26.559259,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Austria,Population,million,2025,9.044223000000011,9.111051999999999,9.044223000000011,9.111051999999999,9.111051999999999,9.111051999999999,FALSE,FALSE,TRUE,0.06682899999998781
IIASA-WiC POP 2025,Azerbaijan,Population,million,2025,10.492942,10.496825,10.492942,10.496825,10.496825,10.496825,FALSE,FALSE,TRUE,0.003883000000000081
IIASA-WiC POP 2025,Bahamas,Population,million,2025,0.415502,0.415502,0.415502,0.415502,0.415502,0.415502,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Bahrain,Population,million,2025,1.624196,1.624196,1.624196,1.624196,1.624196,1.624196,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Bangladesh,Population,million,2025,175.53052,175.53052,175.53052,175.53052,175.53052,175.53052,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Barbados,Population,million,2025,0.282601,0.282601,0.282601,0.282601,0.282601,0.282601,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Belarus,Population,million,2025,9.39459999999999,9.405085,9.39459999999999,9.405085,9.405085,9.405085,FALSE,FALSE,TRUE,0.010485000000009848
IIASA-WiC POP 2025,Belgium,Population,million,2025,11.692354,11.737962,11.692354,11.737962,11.737962,11.737962,FALSE,FALSE,TRUE,0.04560799999999965
IIASA-WiC POP 2025,Belize,Population,million,2025,0.423846,0.423846,0.423846,0.423846,0.423846,0.423846,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Benin,Population,million,2025,14.28294,14.28294,14.28294,14.28294,14.28294,14.28294,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Bhutan,Population,million,2025,0.797744,0.797744,0.797744,0.797744,0.797744,0.797744,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Bolivia,Population,million,2025,12.620088,12.620088,12.620088,12.620088,12.620088,12.620088,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Bosnia and Herzegovina,Population,million,2025,3.181,3.181188,3.181,3.181188,3.181188,3.181188,FALSE,FALSE,TRUE,1.88000000000077e-4
IIASA-WiC POP 2025,Botswana,Population,million,2025,2.7334,2.7334,2.7334,2.7334,2.7334,2.7334,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Brazil,Population,million,2025,217.546263,217.546263,217.546263,217.546263,217.546263,217.546263,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Brunei Darussalam,Population,million,2025,0.461429,0.461429,0.461429,0.461429,0.461429,0.461429,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Bulgaria,Population,million,2025,6.67825200000001,6.742884,6.67825200000001,6.742884,6.742884,6.742884,FALSE,FALSE,TRUE,0.06463199999998981
IIASA-WiC POP 2025,Burkina Faso,Population,million,2025,24.191297,24.191297,24.191297,24.191297,24.191297,24.191297,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Burundi,Population,million,2025,13.674842,13.674842,13.674842,13.674842,13.674842,13.674842,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Cabo Verde,Population,million,2025,0.6081150000000001,0.6081150000000001,0.6081150000000001,0.6081150000000001,0.6081150000000001,0.6081150000000001,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Cambodia,Population,million,2025,17.300953,17.300953,17.300953,17.300953,17.300953,17.300953,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Cameroon,Population,million,2025,29.624897,29.624897,29.624897,29.624897,29.624897,29.624897,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Canada,Population,million,2025,38.636151,38.703364,38.636151,38.703364,38.703364,38.703364,FALSE,FALSE,TRUE,0.06721300000000241
IIASA-WiC POP 2025,Central African Republic,Population,million,2025,6.099845,6.099845,6.099845,6.099845,6.099845,6.099845,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Chad,Population,million,2025,19.219191,19.219191,19.219191,19.219191,19.219191,19.219191,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,Chile,Population,million,2025,19.581699,19.581699,19.581699,19.581699,19.581699,19.581699,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,China,Population,million,2025,1426.368117,1426.368117,1426.368117,1426.368117,1426.368117,1426.368117,TRUE,TRUE,TRUE,0
IIASA-WiC POP 2025,China (R9),Population,million,2025,1434.602655,1434.602655,1434.602655,1434.602655,1434.602655,1434.602655,TRUE,TRUE,TRUE,0
