model,scenario,region,variable,unit,year,value,iso
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2090,8.791679,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2095,8.464309,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2100,8.109308,AUT
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2020,10.273527,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2025,10.496825000000001,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2030,10.730513,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2035,10.938395,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2040,11.089959,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2045,11.162735000000001,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2050,11.15805,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2055,11.097557,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2060,11.000146,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2065,10.872308,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2070,10.710305,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2075,10.510343,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2080,10.275532,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2085,10.018841,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2090,9.75632800000001,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2095,9.501868,AZE
IIASA-WiC POP 2023,SSP1,Azerbaijan,Population,million,2100,9.251986,AZE
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2020,0.405784,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2025,0.415502,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2030,0.424042999999999,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2035,0.430697999999999,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2040,0.434851,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2045,0.437159999999999,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2050,0.437539,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2055,0.435816,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2060,0.43217300000000003,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2065,0.426801,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2070,0.420047,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2075,0.412096,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2080,0.402935,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2085,0.392423,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2090,0.380399,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2095,0.366633,BHS
IIASA-WiC POP 2023,SSP1,Bahamas,Population,million,2100,0.351156,BHS
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2020,1.494028,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2025,1.624196,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2030,1.737961,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2035,1.840865,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2040,1.935417,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2045,2.023249,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2050,2.101097,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2055,2.1634789999999997,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2060,2.207888,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2065,2.227106,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2070,2.221645,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2075,2.192477,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2080,2.140621,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2085,2.070088,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2090,1.988391,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2095,1.904654,BHR
IIASA-WiC POP 2023,SSP1,Bahrain,Population,million,2100,1.8221859999999999,BHR
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2020,166.42699100000002,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2025,175.53052,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2030,182.280147,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2035,186.978508,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2040,189.871299,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2045,191.498468,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2050,191.85756400000002,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2055,190.97501300000002,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2060,188.831023,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2065,185.71738,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2070,181.742452,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2075,176.978039,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2080,171.53654500000002,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2085,165.542406,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2090,159.108693,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2095,152.325738,BGD
IIASA-WiC POP 2023,SSP1,Bangladesh,Population,million,2100,145.297786,BGD
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2020,0.280426,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2025,0.282601,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2030,0.283401,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2035,0.28277800000000003,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2040,0.280743,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2045,0.277982,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2050,0.27454,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2055,0.270451,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2060,0.265861,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2065,0.260868,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2070,0.255703,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2075,0.250423,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2080,0.244954,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2085,0.238954,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2090,0.23222,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2095,0.224556,BRB
IIASA-WiC POP 2023,SSP1,Barbados,Population,million,2100,0.21523699999999998,BRB
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2020,9.661039,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2025,9.405085,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2030,9.25405700000001,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2035,9.11232200000001,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2040,8.985037,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2045,8.876493,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2050,8.770125999999989,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2055,8.647375,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2060,8.505324,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2065,8.347318,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2070,8.17889,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2075,8.001566,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2080,7.814191,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2085,7.617114,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2090,7.415778,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2095,7.216684,BLR
IIASA-WiC POP 2023,SSP1,Belarus,Population,million,2100,7.016115,BLR
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2020,11.54127,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2025,11.737962,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2030,11.874452,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2035,12.015074,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2040,12.159063,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2045,12.305296,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2050,12.444459,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2055,12.540617000000001,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2060,12.596373999999999,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2065,12.61827,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2070,12.623572,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2075,12.616273999999999,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2080,12.579323,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2085,12.468117,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2090,12.248906000000002,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2095,11.956574,BEL
IIASA-WiC POP 2023,SSP1,Belgium,Population,million,2100,11.600027,BEL
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2020,0.392424,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2025,0.423846,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2030,0.45127999999999996,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2035,0.473959,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2040,0.49235199999999996,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2045,0.508267,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2050,0.521648,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2055,0.532175,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2060,0.539653,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2065,0.543932,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2070,0.545196,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2075,0.543531,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2080,0.539215,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2085,0.532163,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2090,0.522283,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2095,0.509479,BLZ
IIASA-WiC POP 2023,SSP1,Belize,Population,million,2100,0.493614,BLZ
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2020,12.466822,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2025,14.28294,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2030,15.914958,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2035,17.424307000000002,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2040,18.841203,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2045,20.222914,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2050,21.521503,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2055,22.652771,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2060,23.560671,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2065,24.309172,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2070,24.89608,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2075,25.340975,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2080,25.605627000000002,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2085,25.693886,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2090,25.596726,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2095,25.345322,BEN
IIASA-WiC POP 2023,SSP1,Benin,Population,million,2100,24.960396,BEN
IIASA-WiC POP 2023,SSP1,Bhutan,Population,million,2020,0.7700009999999999,BTN
IIASA-WiC POP 2023,SSP1,Bhutan,Population,million,2025,0.797744,BTN
IIASA-WiC POP 2023,SSP1,Bhutan,Population,million,2030,0.8184579999999989,BTN
IIASA-WiC POP 2023,SSP1,Bhutan,Population,million,2035,0.832678,BTN
IIASA-WiC POP 2023,SSP1,Bhutan,Population,million,2040,0.840876,BTN
IIASA-WiC POP 2023,SSP1,Bhutan,Population,million,2045,0.84441600000000006,BTN
