model,scenario,region,variable,unit,year,value,iso
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2020,38.326031,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2025,44.166205000000005,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2030,49.661724,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2035,54.868017,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2040,59.713764000000005,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2045,64.38666,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2050,68.712599,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2055,72.469125,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2060,75.5387919999999,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2065,78.006001,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2070,79.84591,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2075,81.0828829999999,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2080,81.6403539999999,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2085,81.503863,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2090,80.796739,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2095,79.605046,AFG
IIASA-WiC POP 2023,SSP1,Afghanistan,Population,million,2100,77.9757909999999,AFG
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2020,2.8721300000000003,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2025,2.795412,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2030,2.720054,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2035,2.622814,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2040,2.5134160000000003,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2045,2.40003,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2050,2.2853939999999997,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2055,2.170254,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2060,2.054536,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2065,1.947402,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2070,1.849748,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2075,1.7614349999999999,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2080,1.679719,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2085,1.600868,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2090,1.522121,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2095,1.443179,ALB
IIASA-WiC POP 2023,SSP1,Albania,Population,million,2100,1.3666939999999999,ALB
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2020,43.09099199999989,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2025,46.733889000000005,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2030,49.483608,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2035,51.680996,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2040,53.568383999999995,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2045,55.351834000000004,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2050,56.926415999999996,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2055,58.027061,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2060,58.566031,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2065,58.598648999999995,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2070,58.270733,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2075,57.715745000000005,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2080,57.013989,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2085,56.19271,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2090,55.265224,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2095,54.251141000000004,DZA
IIASA-WiC POP 2023,SSP1,Algeria,Population,million,2100,53.136627999999995,DZA
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2020,32.899002,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2025,38.360074,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2030,43.292629999999996,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2035,47.972832000000004,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2040,52.488244,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2045,56.914498,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2050,61.071002999999905,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2055,64.78116999999989,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2060,67.995239,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2065,70.688247,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2070,72.817373,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2075,74.40458,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2080,75.391235,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2085,75.7355469999999,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2090,75.39641,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2095,74.490625,AGO
IIASA-WiC POP 2023,SSP1,Angola,Population,million,2100,73.062223,AGO
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2020,0.092375,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2025,0.095485,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2030,0.0979080000000001,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2035,0.0997450000000001,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2040,0.100946,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2045,0.101646,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2050,0.10184900000000001,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2055,0.101539,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2060,0.100759,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2065,0.0994730000000001,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2070,0.097782,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2075,0.095718,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2080,0.093212,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2085,0.090269,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2090,0.086896,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2095,0.083141,ATG
IIASA-WiC POP 2023,SSP1,Antigua and Barbuda,Population,million,2100,0.0790380000000001,ATG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2020,44.908443,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2025,46.045355,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2030,47.02472,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2035,47.791313,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2040,48.357793,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2045,48.777994,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2050,49.007923000000005,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2055,49.031663,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2060,48.797432,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2065,48.346362,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2070,47.702144999999994,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2075,46.887187,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2080,45.911494,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2085,44.79076,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2090,43.530164,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2095,42.124351000000004,ARG
IIASA-WiC POP 2023,SSP1,Argentina,Population,million,2100,40.548983,ARG
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2020,2.812494,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2025,2.762656,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2030,2.7223029999999997,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2035,2.671735,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2040,2.6194740000000003,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2045,2.569634,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2050,2.518669,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2055,2.463944,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2060,2.404056,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2065,2.346631,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2070,2.292524,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2075,2.240184,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2080,2.186971,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2085,2.131798,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2090,2.07676,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2095,2.0261430000000002,ARM
IIASA-WiC POP 2023,SSP1,Armenia,Population,million,2100,1.982587,ARM
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2020,0.106664,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2025,0.1088,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2030,0.110974,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2035,0.112884,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2040,0.114513,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2045,0.116005,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2050,0.11724599999999999,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2055,0.11825,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2060,0.119063,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2065,0.119445,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2070,0.11953100000000001,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2075,0.11932599999999999,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2080,0.118697,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2085,0.11749599999999999,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2090,0.11566599999999999,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2095,0.113153,ABW
IIASA-WiC POP 2023,SSP1,Aruba,Population,million,2100,0.109871,ABW
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2020,25.544183,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2025,26.559258999999997,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2030,27.549957,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2035,28.471714,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2040,29.336426,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2045,30.195138999999998,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2050,31.060037,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2055,31.847768,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2060,32.542293,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2065,33.104658,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2070,33.549146,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2075,33.869827,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2080,34.041248,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2085,33.955397,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2090,33.52772,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2095,32.795514000000004,AUS
IIASA-WiC POP 2023,SSP1,Australia,Population,million,2100,31.901186000000003,AUS
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2020,8.901099999999989,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2025,9.111051999999999,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2030,9.190344999999999,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2035,9.25568400000001,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2040,9.3126,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2045,9.376577,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2050,9.43842699999999,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2055,9.473143,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2060,9.470353000000019,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2065,9.43076500000001,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2070,9.37541400000001,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2075,9.3113880000000009,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2080,9.224324000000001,AUT
IIASA-WiC POP 2023,SSP1,Austria,Population,million,2085,9.049582000000001,AUT
